ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778400838,,,,,,3.59
1778400839,,,,,,3.78
1778400840,,,,,,3.78
1778400841,,,,,,3.78
1778400843,,,,,,3.78
1778400844,,,,,,3.78
1778400845,,,,,,3.56
1778400846,,,,,,3.56
1778400847,,,,,,3.56
1778400848,,,,,,3.56
1778400849,,,,,,3.56
1778400850,,,,,,3.43
1778400851,,,,,,3.43
1778400852,,,,,,3.43
1778400853,,,,,,3.43
1778400854,,,,,,3.43
1778400855,,,,,,3.32
1778400856,,,,,,3.32
1778400857,,,,,,3.32
1778400858,,,,,,3.32
1778400859,,,,,,3.21
1778400860,,,,,,3.21
1778400861,,,,,,3.21
1778400862,,,,,,3.21
1778400863,,,,,,3.21
1778400864,,,,,,3.12
1778400865,,,,,,3.12
1778400866,,,,,,3.12
1778400867,,,,,,3.12
1778400868,,,,,,3.12
1778400869,,,,,,3.11
1778400870,,,,,,3.11
1778400871,,,,,,3.11
1778400872,,,,,,3.11
1778400873,,,,,,3.11
1778400874,,,,,,3.02
1778400875,,,,,,3.02
1778400876,,,,,,3.02
1778400877,,,,,,3.02
1778400878,,,,,,3.02
1778400879,,,,,,5.18
1778400880,,,,,,5.18
1778400881,,,,,,5.18
1778400882,,,,,,5.18
1778400883,,,,,,5.18
1778400885,,,,,,5.00
1778400886,,,,,,5.00
1778400887,,,,,,5.00
1778400888,,,,,,5.00
1778400889,,,,,,5.00
1778400890,,,,,,4.76
1778400891,,,,,,4.76
1778400892,,,,,,4.76
1778400893,,,,,,4.76
1778400894,,,,,,4.76
1778400895,,,,,,4.38
1778400896,,,,,,4.38
1778400897,,,,,,4.38
1778400898,,,,,,4.38
1778400899,,,,,,4.38
1778400900,,,,,,4.19
1778400901,,,,,,4.19
1778400902,,,,,,4.19
1778400903,,,,,,4.19
1778400904,,,,,,3.85
1778400905,,,,,,3.85
1778400906,,,,,,3.85
1778400907,,,,,,3.85
1778400908,,,,,,3.85
1778400909,,,,,,3.62
1778400910,,,,,,3.62
1778400911,,,,,,3.62
1778400912,,,,,,3.62
1778400913,,,,,,3.62
1778400914,,,,,,3.49
1778400915,,,,,,3.49
1778400916,,,,,,3.49
1778400917,,,,,,3.49
1778400918,,,,,,3.49
1778400919,,,,,,3.29
1778400920,,,,,,3.29
1778400921,,,,,,3.29
1778400922,,,,,,3.29
1778400923,,,,,,3.29
1778400924,,,,,,3.35
1778400925,,,,,,3.35
1778400926,,,,,,3.35
1778400928,,,,,,3.35
1778400929,,,,,,3.35
1778400930,,,,,,3.24
1778400931,,,,,,3.24
1778400932,,,,,,3.24
1778400933,,,,,,3.24
1778400934,,,,,,3.24
1778400935,,,,,,3.14
1778400936,,,,,,3.14
1778400937,,,,,,3.14
1778400938,,,,,,3.14
1778400939,,,,,,3.14
1778400940,,,,,,2.97
1778400941,,,,,,2.97
1778400942,,,,,,2.97
1778400943,,,,,,2.97
1778400944,,,,,,2.97
1778400945,,,,,,2.89
1778400946,,,,,,2.89
1778400947,,,,,,2.89
1778400948,,,,,,2.89
1778400949,,,,,,2.82
1778400950,,,,,,2.82
