ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778400849,,,,,,3.43
1778400850,,,,,,3.43
1778400851,,,,,,3.43
1778400852,,,,,,3.43
1778400853,,,,,,3.43
1778400854,,,,,,3.32
1778400855,,,,,,3.32
1778400856,,,,,,3.32
1778400857,,,,,,3.32
1778400858,,,,,,3.32
1778400859,,,,,,3.21
1778400860,,,,,,3.21
1778400861,,,,,,3.21
1778400862,,,,,,3.21
1778400863,,,,,,3.21
1778400865,,,,,,3.12
1778400866,,,,,,3.12
1778400867,,,,,,3.12
1778400868,,,,,,3.12
1778400869,,,,,,3.12
1778400870,,,,,,3.11
1778400871,,,,,,3.11
1778400872,,,,,,3.11
1778400873,,,,,,3.11
1778400874,,,,,,3.11
1778400875,,,,,,3.02
1778400876,,,,,,3.02
1778400877,,,,,,3.02
1778400878,,,,,,3.02
1778400879,,,,,,3.02
1778400880,,,,,,5.18
1778400881,,,,,,5.18
1778400882,,,,,,5.18
1778400883,,,,,,5.18
1778400884,,,,,,5.00
1778400885,,,,,,5.00
1778400886,,,,,,5.00
1778400887,,,,,,5.00
1778400888,,,,,,5.00
1778400889,,,,,,4.76
1778400890,,,,,,4.76
1778400891,,,,,,4.76
1778400892,,,,,,4.76
1778400893,,,,,,4.76
1778400894,,,,,,4.38
1778400895,,,,,,4.38
1778400896,,,,,,4.38
1778400897,,,,,,4.38
1778400898,,,,,,4.38
1778400899,,,,,,4.19
1778400900,,,,,,4.19
1778400901,,,,,,4.19
1778400902,,,,,,4.19
1778400903,,,,,,4.19
1778400904,,,,,,3.85
1778400906,,,,,,3.85
1778400907,,,,,,3.85
1778400908,,,,,,3.85
1778400909,,,,,,3.85
1778400910,,,,,,3.62
1778400911,,,,,,3.62
1778400912,,,,,,3.62
1778400913,,,,,,3.62
1778400914,,,,,,3.62
1778400915,,,,,,3.49
1778400916,,,,,,3.49
1778400917,,,,,,3.49
1778400918,,,,,,3.49
1778400919,,,,,,3.49
1778400920,,,,,,3.29
1778400921,,,,,,3.29
1778400922,,,,,,3.29
1778400923,,,,,,3.29
1778400924,,,,,,3.29
1778400925,,,,,,3.35
1778400926,,,,,,3.35
1778400927,,,,,,3.35
1778400928,,,,,,3.35
1778400929,,,,,,3.24
1778400930,,,,,,3.24
1778400931,,,,,,3.24
1778400932,,,,,,3.24
1778400933,,,,,,3.24
1778400934,,,,,,3.14
1778400935,,,,,,3.14
1778400936,,,,,,3.14
1778400937,,,,,,3.14
1778400938,,,,,,3.14
1778400939,,,,,,2.97
1778400940,,,,,,2.97
1778400941,,,,,,2.97
1778400942,,,,,,2.97
1778400943,,,,,,2.97
1778400944,,,,,,2.89
1778400945,,,,,,2.89
1778400947,,,,,,2.89
1778400948,,,,,,2.89
1778400949,,,,,,2.89
1778400950,,,,,,2.82
1778400951,,,,,,2.82
1778400952,,,,,,2.82
1778400953,,,,,,2.82
1778400954,,,,,,2.82
1778400955,,,,,,2.67
1778400956,,,,,,2.67
1778400957,,,,,,2.67
1778400958,,,,,,2.67
1778400959,,,,,,2.67
1778400960,,,,,,2.54
1778400961,,,,,,2.54
1778400962,,,,,,2.54
1778400963,,,,,,2.54
1778400964,,,,,,2.54
1778400965,,,,,,2.66
1778400966,,,,,,2.66
1778400967,,,,,,2.66
1778400968,,,,,,2.66
1778400969,,,,,,2.66
1778400970,,,,,,2.76
1778400971,,,,,,2.76
1778400972,,,,,,2.76
1778400973,,,,,,2.76
1778400974,,,,,,2.62
1778400975,,,,,,2.62
1778400976,,,,,,2.62
1778400977,,,,,,2.62
1778400978,,,,,,2.62
1778400979,,,,,,2.57
1778400980,,,,,,2.57
1778400981,,,,,,2.57
1778400982,,,,,,2.57
1778400983,,,,,,2.57
1778400984,,,,,,2.45
1778400985,,,,,,2.45
1778400986,,,,,,2.45
1778400987,,,,,,2.45
1778400988,,,,,,2.45
1778400990,,,,,,2.41
1778400991,,,,,,2.41
1778400992,,,,,,2.41
1778400993,,,,,,2.41
1778400994,,,,,,2.41
1778400995,,,,,,2.38
1778400996,,,,,,2.38
1778400997,,,,,,2.38
1778400998,,,,,,2.38
1778400999,,,,,,2.38
1778401000,,,,,,2.43
1778401001,,,,,,2.43
1778401002,,,,,,2.43
1778401003,,,,,,2.43
1778401004,,,,,,2.43
1778401005,,,,,,2.47
1778401006,,,,,,2.47
1778401007,,,,,,2.47
1778401008,,,,,,2.47
1778401009,,,,,,2.47
1778401010,,,,,,2.51
1778401011,,,,,,2.51
1778401012,,,,,,2.51
1778401013,,,,,,2.51
1778401014,,,,,,2.87
1778401015,,,,,,2.87
1778401016,,,,,,2.87
1778401017,,,,,,2.87
1778401018,,,,,,2.87
1778401019,,,,,,2.88
1778401020,,,,,,2.88
1778401021,,,,,,2.88
1778401022,,,,,,2.88
1778401023,,,,,,2.88
1778401024,,,,,,2.81
1778401025,,,,,,2.81
1778401026,,,,,,2.81
1778401027,,,,,,2.81
1778401028,,,,,,2.81
1778401029,,,,,,2.75
1778401030,,,,,,2.75
1778401032,,,,,,2.75
1778401033,,,,,,2.75
1778401034,,,,,,2.75
1778401035,,,,,,2.61
1778401036,,,,,,2.61
1778401037,,,,,,2.61
1778401038,,,,,,2.61
1778401039,,,,,,2.61
1778401040,,,,,,2.56
1778401041,,,,,,2.56
1778401042,,,,,,2.56
1778401043,,,,,,2.56
1778401044,,,,,,2.56
1778401045,,,,,,2.59
1778401046,,,,,,2.59
1778401047,,,,,,2.59
1778401048,,,,,,2.59
1778401049,,,,,,2.59
1778401050,,,,,,2.63
1778401051,,,,,,2.63
1778401052,,,,,,2.63
1778401053,,,,,,2.63
1778401054,,,,,,2.66
1778401055,,,,,,2.66
1778401056,,,,,,2.66
1778401057,,,,,,2.66
1778401058,,,,,,2.66
1778401059,,,,,,2.68
1778401060,,,,,,2.68
1778401061,,,,,,2.68
1778401062,,,,,,2.68
1778401063,,,,,,2.68
1778401065,,,,,,2.71
1778401066,,,,,,2.71
1778401067,,,,,,2.71
1778401068,,,,,,2.71
1778401069,,,,,,2.71
1778401070,,,,,,3.29
1778401071,,,,,,3.29
1778401072,,,,,,3.29
1778401073,,,,,,3.29
1778401074,,,,,,3.29
1778401075,,,,,,3.19
1778401076,,,,,,3.19
1778401077,,,,,,3.19
1778401078,,,,,,3.19
1778401079,,,,,,3.19
1778401080,,,,,,3.09
1778401081,,,,,,3.09
1778401082,,,,,,3.09
1778401083,,,,,,3.09
1778401084,,,,,,3.09
1778401085,,,,,,3.00
1778401086,,,,,,3.00
1778401087,,,,,,3.00
1778401088,,,,,,3.00
1778401089,,,,,,2.92
1778401090,,,,,,2.92
1778401091,,,,,,2.92
1778401092,,,,,,2.92
1778401093,,,,,,2.92
1778401094,,,,,,2.93
1778401095,,,,,,2.93
1778401096,,,,,,2.93
1778401097,,,,,,2.93
1778401099,,,,,,2.93
1778401100,,,,,,2.94
1778401101,,,,,,2.94
1778401102,,,,,,2.94
1778401103,,,,,,2.94
1778401104,,,,,,2.94
1778401105,,,,,,3.02
1778401106,,,,,,3.02
1778401107,,,,,,3.02
1778401108,,,,,,3.02
1778401109,,,,,,3.02
1778401110,,,,,,3.02
1778401111,,,,,,3.02
1778401112,,,,,,3.02
1778401113,,,,,,3.02
1778401114,,,,,,3.02
1778401115,,,,,,2.94
1778401116,,,,,,2.94
1778401117,,,,,,2.94
1778401118,,,,,,2.94
1778401119,,,,,,2.94
1778401120,,,,,,2.86
1778401121,,,,,,2.86
1778401122,,,,,,2.86
1778401123,,,,,,2.86
1778401124,,,,,,3.19
1778401125,,,,,,3.19
1778401126,,,,,,3.19
1778401127,,,,,,3.19
1778401128,,,,,,3.19
1778401129,,,,,,3.10
1778401130,,,,,,3.10
1778401131,,,,,,3.10
1778401132,,,,,,3.10
1778401133,,,,,,3.10
1778401134,,,,,,2.93
1778401135,,,,,,2.93
1778401137,,,,,,2.93
1778401138,,,,,,2.93
1778401139,,,,,,2.93
1778401140,,,,,,2.85
1778401141,,,,,,2.85
1778401142,,,,,,2.85
1778401143,,,,,,2.85
1778401144,,,,,,2.85
1778401145,,,,,,2.71
1778401146,,,,,,2.71
1778401147,,,,,,2.71
1778401148,,,,,,2.71
1778401149,,,,,,2.71
1778401150,,,,,,2.73
1778401151,,,,,,2.73
