ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778401316,,,,,,2.26
1778401317,,,,,,2.26
1778401318,,,,,,2.26
1778401319,,,,,,2.26
1778401320,,,,,,2.40
1778401321,,,,,,2.40
1778401322,,,,,,2.40
1778401323,,,,,,2.40
1778401324,,,,,,2.40
1778401325,,,,,,2.36
1778401326,,,,,,2.36
1778401327,,,,,,2.36
1778401328,,,,,,2.36
1778401329,,,,,,2.36
1778401330,,,,,,2.58
1778401331,,,,,,2.58
1778401332,,,,,,2.58
1778401333,,,,,,2.58
1778401334,,,,,,2.58
1778401335,,,,,,2.61
1778401336,,,,,,2.61
1778401337,,,,,,2.61
1778401338,,,,,,2.61
1778401339,,,,,,2.61
1778401340,,,,,,2.48
1778401341,,,,,,2.48
1778401342,,,,,,2.48
1778401343,,,,,,2.48
1778401344,,,,,,2.48
1778401345,,,,,,2.60
1778401346,,,,,,2.60
1778401347,,,,,,2.60
1778401348,,,,,,2.60
1778401349,,,,,,2.60
1778401350,,,,,,2.55
