ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778401407,,,,,,3.22
1778401408,,,,,,3.22
1778401409,,,,,,3.22
1778401410,,,,,,3.20
1778401411,,,,,,3.20
1778401412,,,,,,3.20
1778401413,,,,,,3.20
1778401414,,,,,,3.20
1778401415,,,,,,3.19
1778401416,,,,,,3.19
1778401417,,,,,,3.19
1778401418,,,,,,3.19
1778401419,,,,,,3.19
1778401420,,,,,,3.01
1778401421,,,,,,3.01
1778401422,,,,,,3.01
1778401423,,,,,,3.01
1778401424,,,,,,3.01
1778401425,,,,,,2.93
1778401426,,,,,,2.93
1778401427,,,,,,2.93
1778401428,,,,,,2.93
1778401430,,,,,,2.93
