ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778401432,,,,,,2.85
1778401433,,,,,,2.85
1778401434,,,,,,2.85
1778401435,,,,,,2.79
1778401436,,,,,,2.79
1778401437,,,,,,2.79
1778401438,,,,,,2.79
1778401439,,,,,,2.79
1778401440,,,,,,2.80
1778401441,,,,,,2.80
1778401443,,,,,,2.80
1778401444,,,,,,2.80
1778401445,,,,,,2.98
1778401446,,,,,,2.98
1778401447,,,,,,2.98
1778401448,,,,,,2.98
1778401449,,,,,,2.98
1778401450,,,,,,2.74
1778401451,,,,,,2.74
1778401452,,,,,,2.74
1778401453,,,,,,2.74
1778401454,,,,,,2.74
1778401455,,,,,,2.76
1778401456,,,,,,2.76
1778401457,,,,,,2.76
1778401458,,,,,,2.76
1778401459,,,,,,2.76
1778401460,,,,,,2.70
1778401461,,,,,,2.70
1778401462,,,,,,2.70
1778401463,,,,,,2.70
1778401464,,,,,,2.70
1778401465,,,,,,2.64
1778401466,,,,,,2.64
1778401467,,,,,,2.64
1778401469,,,,,,2.64
1778401470,,,,,,2.64
1778401471,,,,,,2.59
1778401472,,,,,,2.59
1778401473,,,,,,2.59
1778401474,,,,,,2.59
1778401475,,,,,,2.78
1778401476,,,,,,2.78
1778401477,,,,,,2.78
1778401478,,,,,,2.78
1778401479,,,,,,2.78
1778401480,,,,,,2.72
1778401481,,,,,,2.72
1778401482,,,,,,2.72
1778401483,,,,,,2.72
1778401484,,,,,,2.72
1778401485,,,,,,2.82
1778401486,,,,,,2.82
1778401487,,,,,,2.82
1778401488,,,,,,2.82
1778401489,,,,,,2.82
1778401490,,,,,,2.84
1778401491,,,,,,2.84
1778401492,,,,,,2.84
1778401494,,,,,,2.84
1778401495,,,,,,2.84
1778401496,,,,,,2.93
1778401497,,,,,,2.93
1778401498,,,,,,2.93
1778401499,,,,,,2.93
1778401500,,,,,,3.02
1778401501,,,,,,3.02
1778401502,,,,,,3.02
1778401503,,,,,,3.02
1778401504,,,,,,3.02
1778401505,,,,,,3.25
1778401506,,,,,,3.25
1778401507,,,,,,3.25
1778401508,,,,,,3.25
1778401509,,,,,,3.25
1778401510,,,,,,3.31
1778401511,,,,,,3.31
1778401512,,,,,,3.31
1778401513,,,,,,3.31
1778401514,,,,,,3.31
1778401515,,,,,,3.85
1778401516,,,,,,3.85
1778401517,,,,,,3.85
1778401518,,,,,,3.85
1778401519,,,,,,3.85
1778401521,,,,,,3.62
1778401522,,,,,,3.62
1778401523,,,,,,3.62
1778401524,,,,,,3.62
1778401525,,,,,,3.57
1778401526,,,,,,3.57
1778401527,,,,,,3.57
1778401528,,,,,,3.57
1778401529,,,,,,3.57
1778401530,,,,,,3.44
1778401531,,,,,,3.44
1778401532,,,,,,3.44
1778401533,,,,,,3.44
1778401534,,,,,,3.44
1778401535,,,,,,3.41
1778401536,,,,,,3.41
1778401537,,,,,,3.41
1778401538,,,,,,3.41
1778401539,,,,,,3.41
1778401540,,,,,,3.22
1778401541,,,,,,3.22
1778401542,,,,,,3.22
1778401543,,,,,,3.22
1778401544,,,,,,3.22
1778401546,,,,,,3.28
1778401547,,,,,,3.28
1778401548,,,,,,3.28
1778401549,,,,,,3.28
1778401550,,,,,,3.28
1778401551,,,,,,3.10
1778401552,,,,,,3.10
1778401553,,,,,,3.10
1778401554,,,,,,3.10
1778401555,,,,,,3.01
1778401556,,,,,,3.01
1778401557,,,,,,3.01
1778401558,,,,,,3.01
1778401559,,,,,,3.01
