ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778401562,,,,,,3.25
1778401563,,,,,,3.25
1778401564,,,,,,3.25
1778401565,,,,,,3.55
1778401566,,,,,,3.55
1778401567,,,,,,3.55
1778401569,,,,,,3.55
1778401570,,,,,,3.55
1778401571,,,,,,3.34
1778401572,,,,,,3.34
1778401573,,,,,,3.34
1778401574,,,,,,3.34
1778401575,,,,,,3.07
1778401576,,,,,,3.07
1778401577,,,,,,3.07
1778401578,,,,,,3.07
1778401579,,,,,,3.07
1778401580,,,,,,3.07
1778401581,,,,,,3.07
1778401582,,,,,,3.07
1778401583,,,,,,3.07
1778401584,,,,,,3.07
1778401585,,,,,,2.90
1778401586,,,,,,2.90
1778401587,,,,,,2.90
1778401588,,,,,,2.90
1778401589,,,,,,2.90
1778401590,,,,,,3.07
1778401591,,,,,,3.07
1778401592,,,,,,3.07
1778401594,,,,,,3.07
1778401595,,,,,,3.07
1778401596,,,,,,3.38
1778401597,,,,,,3.38
1778401598,,,,,,3.38
1778401599,,,,,,3.38
1778401600,,,,,,3.38
1778401601,,,,,,3.27
1778401602,,,,,,3.27
1778401603,,,,,,3.27
1778401604,,,,,,3.27
