ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778401576,37,11387,51,34.13,0,3.07
1778401578,4,1209,51,27.76,0,3.07
1778401580,4,11389,52,45.98,0,3.07
1778401581,3,11389,52,53.44,0,3.07
1778401583,49,11389,55,87.03,0,3.07
1778401585,85,11389,56,89.82,0,2.90
1778401587,15,11397,54,64.02,0,2.90
1778401588,30,11397,52,35.42,0,2.90
1778401590,24,11397,52,34.18,0,3.07
1778401592,26,11397,52,33.76,0,3.07
1778401593,38,11397,52,33.55,0,3.07
1778401595,33,11397,52,33.27,0,3.38
1778401597,33,11397,52,33.05,0,3.38
1778401598,38,11397,52,33.01,0,3.38
1778401600,32,11397,52,33.00,0,3.27
1778401601,33,11397,52,33.20,0,3.27
1778401603,36,11397,52,33.20,0,3.27
