ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778401650,22,11397,53,24.01,0,2.77
1778401651,3,1396,54,33.76,0,2.77
1778401653,19,11177,55,48.54,0,2.77
1778401655,30,11177,54,49.15,0,2.63
1778401656,3,11177,54,35.09,0,2.63
1778401658,22,11181,59,106.61,0,2.63
1778401660,26,11181,58,79.10,0,2.58
1778401661,37,11181,55,45.10,0,2.58
1778401663,35,11166,56,44.44,0,2.58
1778401664,33,11166,55,44.33,0,2.58
1778401666,30,11166,55,44.03,0,2.45
1778401667,37,11166,56,43.92,0,2.45
1778401670,38,11166,56,43.92,0,2.42
1778401672,34,11166,56,43.82,0,2.42
1778401673,44,11166,55,43.69,0,2.42
1778401675,40,11166,55,43.50,0,2.54
1778401676,44,11166,55,43.59,0,2.54
1778401678,37,11166,55,42.96,0,2.54
1778401679,45,11166,56,43.65,0,2.50
1778401681,41,11166,56,43.36,0,2.50
1778401683,45,11166,55,43.55,0,2.50
1778401684,35,11166,56,42.82,0,2.50
1778401686,42,11166,55,42.93,0,2.62
1778401687,44,11166,55,42.96,0,2.62
1778401689,35,11166,56,42.87,0,2.62
1778401690,32,11166,56,42.94,0,2.57
1778401692,43,11166,55,43.32,0,2.57
1778401694,32,11166,56,42.80,0,2.57
1778401696,46,11166,55,43.68,0,2.36
1778401698,38,11166,57,43.10,0,2.36
1778401700,41,11166,56,43.16,0,2.33
1778401702,45,11166,56,43.22,0,2.33
1778401705,42,11166,56,43.30,0,2.23
1778401707,33,11166,56,43.09,0,2.23
1778401708,35,11166,56,43.52,0,2.23
1778401710,38,11166,56,43.65,0,2.13
1778401711,33,11166,56,43.16,0,2.13
1778401713,35,11166,57,43.67,0,2.13
1778401715,45,11166,56,43.52,0,2.12
1778401716,41,11166,57,43.96,0,2.12
1778401718,45,11166,56,43.92,0,2.12
1778401719,42,11166,56,43.55,0,2.12
1778401721,43,11166,56,44.01,0,2.19
1778401722,33,11166,56,43.74,0,2.19
1778401724,33,11166,56,43.58,0,2.19
1778401726,46,11166,57,43.75,0,2.01
1778401727,33,11166,57,43.86,0,2.01
1778401729,38,11166,57,43.61,0,2.01
1778401730,34,11166,57,43.62,0,2.01
1778401732,34,11166,56,43.94,0,2.01
1778401734,33,11166,56,43.85,0,2.01
1778401735,47,11166,57,44.06,0,2.01
1778401737,42,11166,57,44.38,0,2.01
1778401739,36,11166,56,44.16,0,2.01
1778401740,41,11166,57,44.25,0,1.93
