ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778401857,10,11166,45,22.55,0,2.58
1778401859,25,11166,49,105.69,0,2.58
1778401860,4,11166,47,55.00,0,2.77
1778401862,39,11166,47,29.39,0,2.77
1778401863,25,11166,49,51.93,0,2.77
1778401865,25,11166,49,68.98,0,2.71
1778401866,44,11166,48,42.94,0,2.71
1778401868,36,11166,47,42.38,0,2.71
1778401870,24,11166,50,76.52,0,2.65
1778401871,37,11166,49,55.25,0,2.65
1778401873,40,11166,49,43.39,0,2.65
1778401874,35,11166,49,42.90,0,2.65
1778401876,31,11166,48,42.30,0,2.60
1778401877,36,11166,49,42.65,0,2.60
1778401879,5,11166,48,40.01,0,2.60
1778401881,25,11166,49,58.17,0,2.47
1778401882,24,11166,51,71.19,0,2.47
1778401884,25,11166,51,66.82,0,2.47
1778401885,25,11166,53,78.68,0,2.51
1778401887,32,11166,51,73.66,0,2.51
1778401889,35,11166,50,43.65,0,2.51
1778401890,83,11166,49,37.10,0,2.39
1778401892,26,11166,53,76.71,0,2.39
1778401893,5,11166,49,37.52,0,2.39
1778401895,37,11166,56,124.98,0,2.52
1778401897,3,11166,52,73.94,0,2.52
1778401898,24,11168,54,113.11,0,2.52
1778401901,25,11168,55,76.70,0,2.48
1778401902,38,11168,51,44.27,0,2.48
