ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778401905,8,11168,50,23.59,0,3.08
1778401906,24,11168,52,58.48,0,3.08
1778401908,39,11168,52,47.97,0,3.08
1778401910,32,11168,52,43.06,0,3.07
1778401911,32,11168,52,42.66,0,3.07
1778401913,43,11168,52,43.00,0,3.07
1778401915,45,11168,52,43.04,0,2.91
1778401917,38,11168,53,42.82,0,2.91
1778401918,31,11168,52,42.19,0,2.91
1778401920,45,11168,52,42.64,0,3.08
1778401922,44,11168,53,42.49,0,3.08
1778401923,37,11168,53,42.04,0,3.08
1778401925,37,11168,52,42.26,0,2.91
1778401927,39,11168,52,42.30,0,2.91
1778401928,36,11168,52,42.28,0,2.91
1778401930,34,11168,52,42.17,0,2.91
1778401931,34,11168,52,42.04,0,2.92
1778401933,33,11168,53,42.34,0,2.92
1778401934,35,11168,53,42.57,0,2.92
1778401936,44,11168,53,42.39,0,2.76
1778401937,45,11168,53,42.66,0,2.76
1778401939,39,11168,53,42.61,0,2.76
1778401941,33,11168,53,42.37,0,2.78
1778401942,37,11168,54,42.31,0,2.78
1778401944,41,11168,53,42.51,0,2.78
1778401945,41,11168,53,42.71,0,2.64
1778401947,33,11168,53,42.94,0,2.64
1778401948,47,11168,53,42.82,0,2.64
1778401950,34,11168,53,43.15,0,2.91
1778401951,33,11168,54,42.88,0,2.91
1778401953,41,11168,54,42.84,0,2.91
1778401954,46,11168,53,42.84,0,2.91
1778401956,34,11168,54,42.85,0,2.75
1778401958,33,11168,54,42.63,0,2.75
1778401959,38,11168,53,42.73,0,2.75
1778401961,34,11168,54,43.10,0,3.33
1778401963,37,11168,54,43.20,0,3.33
1778401964,33,11168,54,43.34,0,3.33
1778401966,47,11168,54,43.57,0,3.23
1778401968,43,11168,54,43.12,0,3.23
1778401970,33,11168,54,43.04,0,3.29
1778401971,33,11168,54,43.42,0,3.29
1778401973,42,11168,55,43.34,0,3.29
1778401975,35,11168,54,42.62,0,3.02
1778401977,40,11168,55,43.61,0,3.02
1778401978,46,11168,54,43.58,0,3.02
1778401980,33,11168,55,43.65,0,3.02
1778401982,34,11168,54,43.26,0,3.02
1778401983,37,11168,55,43.85,0,3.02
1778401985,36,11168,54,43.20,0,3.58
1778401987,34,11168,55,43.99,0,3.58
1778401988,33,11168,55,43.89,0,3.58
1778401990,45,11168,54,43.80,0,3.37
1778401992,41,11168,54,44.16,0,3.37
1778401993,34,11168,55,44.18,0,3.37
1778401995,87,11168,62,51.09,0,3.82
1778401997,25,11168,57,79.61,0,3.82
1778401998,30,11168,56,48.84,0,3.82
