ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778402002,8,11168,54,24.75,0,6.32
1778402004,25,11168,56,54.91,0,6.32
1778402006,30,11168,56,52.25,0,5.89
1778402007,31,11168,56,44.76,0,5.89
1778402009,32,11168,55,44.72,0,5.89
1778402010,44,11168,56,44.14,0,5.82
1778402012,33,11168,56,43.86,0,5.82
1778402014,45,11168,56,44.22,0,5.82
1778402015,36,11168,56,43.47,0,5.36
1778402017,43,11168,56,43.83,0,5.36
1778402018,44,11168,56,43.84,0,5.36
1778402020,32,11168,56,43.34,0,5.09
1778402022,44,11168,56,43.58,0,5.09
1778402023,33,11168,56,43.53,0,5.09
1778402025,36,11168,56,42.95,0,5.09
1778402026,45,11168,56,43.83,0,4.92
1778402028,43,11168,56,43.90,0,4.92
1778402029,33,11168,56,43.30,0,4.92
1778402031,40,11168,57,43.62,0,4.69
1778402032,44,11168,57,43.84,0,4.69
1778402034,47,11168,56,43.67,0,4.69
1778402035,40,11168,56,43.56,0,4.31
1778402037,36,11168,56,43.78,0,4.31
1778402039,34,11168,56,43.68,0,4.31
1778402040,44,11168,57,43.92,0,4.29
1778402042,42,11168,57,43.81,0,4.29
1778402044,34,11168,57,43.65,0,4.29
1778402046,38,11168,57,43.85,0,4.02
1778402047,37,11168,56,43.66,0,4.02
1778402049,32,11168,56,43.71,0,4.02
