ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778402053,17,11168,55,24.57,0,3.94
1778402055,4,9768,56,31.12,0,3.94
1778402056,11,9768,57,50.72,0,3.70
1778402058,12,9768,56,40.03,0,3.70
1778402059,11,9768,56,35.66,0,3.70
1778402061,4,9768,56,35.59,0,3.49
1778402062,8,9768,55,27.29,0,3.49
1778402064,26,9768,55,19.71,0,3.49
1778402065,97,11052,69,103.07,0,3.37
1778402067,14,11052,61,140.71,30,3.37
1778402068,26,11052,59,85.46,30,3.37
1778402070,26,11052,57,59.79,30,3.18
1778402072,19,11052,56,54.85,30,3.18
1778402073,25,11052,59,60.06,31,3.18
1778402075,21,11052,56,68.87,33,3.18
1778402076,25,11052,56,56.63,34,3.08
1778402078,23,11052,55,54.95,34,3.08
1778402079,25,11052,53,51.91,34,3.08
1778402081,25,11052,55,60.24,34,3.00
1778402083,14,11052,53,50.63,34,3.00
1778402085,25,11052,53,62.08,34,3.00
