ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778402110,8,11054,46,22.92,30,3.05
1778402112,17,11054,50,131.64,30,3.05
1778402114,26,11054,48,65.73,30,3.05
1778402116,50,11054,46,51.11,30,2.97
1778402117,49,11054,46,48.75,30,2.97
1778402119,21,11054,48,69.12,30,2.97
1778402121,26,11054,48,53.21,30,3.13
1778402122,49,11054,46,59.91,30,3.13
1778402124,32,11054,45,45.67,30,3.13
1778402125,25,11054,47,59.53,30,3.12
1778402127,17,11054,45,45.08,30,3.12
1778402129,22,11054,46,65.56,30,3.12
1778402130,18,11054,45,46.73,30,3.19
1778402132,26,11054,46,73.75,30,3.19
1778402133,17,11054,45,60.21,30,3.19
1778402135,26,11054,46,61.12,30,3.19
1778402136,43,11054,45,44.79,30,3.25
1778402138,25,11054,45,69.11,30,3.25
1778402139,30,11054,44,55.25,30,3.25
1778402141,26,11054,45,71.01,30,3.39
1778402143,49,11054,45,53.45,30,3.39
1778402145,25,11054,46,53.30,30,3.39
1778402146,26,11054,43,47.04,30,3.28
1778402148,26,11054,47,63.22,30,3.28
1778402150,26,11054,45,51.52,30,3.42
1778402152,49,11054,44,48.79,30,3.42
1778402154,16,11054,45,78.77,30,3.42
1778402156,13,11054,43,47.95,30,3.23
1778402158,19,11054,44,63.53,30,3.23
1778402159,50,11054,43,45.05,30,3.23
1778402161,25,11054,47,62.41,30,3.13
1778402163,47,11054,42,58.51,30,3.13
1778402164,26,11054,47,68.88,30,3.13
