ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778403005,100,10643,43,16.27,0,3.38
1778403006,95,10643,55,163.01,0,3.38
1778403007,96,10643,57,204.36,0,3.19
1778403009,97,10643,58,205.56,0,3.19
1778403010,97,10643,59,206.50,0,3.19
1778403012,96,10643,60,207.15,0,3.01
1778403013,97,10643,60,208.40,30,3.01
1778403014,97,10643,62,208.77,30,3.01
1778403016,95,10643,62,208.86,30,3.01
1778403017,96,10643,62,209.08,30,2.85
1778403019,97,10643,63,209.60,30,2.85
1778403020,96,10643,63,209.80,30,2.85
1778403021,97,10643,63,210.17,30,3.02
1778403023,96,10643,64,210.52,30,3.02
1778403024,97,10643,64,210.69,31,3.02
1778403026,97,10643,64,210.98,32,3.02
1778403027,97,10643,64,211.37,33,3.10
1778403029,96,10643,65,211.84,34,3.10
1778403030,96,10643,65,212.29,35,3.10
1778403031,96,10643,65,212.63,35,3.17
1778403033,96,10643,65,212.42,36,3.17
1778403035,96,10643,65,212.80,37,3.17
1778403036,97,10643,66,212.64,37,3.17
1778403037,97,10643,66,212.82,38,3.24
1778403039,96,10643,66,213.32,38,3.24
1778403040,97,10643,66,213.35,39,3.24
1778403042,96,10643,66,213.29,39,3.22
1778403043,97,10643,66,213.45,39,3.22
1778403045,96,10643,66,213.70,40,3.22
1778403046,97,10643,66,214.00,40,3.12
1778403048,97,10643,66,214.09,40,3.12
1778403049,97,10643,66,214.59,41,3.12
1778403051,96,10643,66,214.69,41,3.12
1778403052,97,10643,66,215.01,41,3.11
1778403053,96,10643,66,214.22,41,3.11
1778403055,97,10643,67,214.69,42,3.11
1778403056,96,10643,66,214.92,42,3.18
1778403058,96,10643,66,214.35,42,3.18
1778403059,96,10643,67,214.58,42,3.18
1778403061,96,10643,67,214.70,42,3.18
1778403062,96,10643,67,214.80,42,3.09
1778403063,97,10643,67,215.05,43,3.09
1778403065,96,10643,67,215.48,43,3.09
1778403066,96,10643,67,215.03,43,3.08
1778403068,97,10643,67,215.53,43,3.08
1778403069,97,10643,67,215.24,43,3.08
1778403070,97,10643,67,215.41,43,3.08
1778403072,97,10643,67,215.09,43,3.15
1778403073,97,10643,67,215.48,43,3.15
1778403075,96,10643,67,215.08,43,3.15
1778403076,96,10643,67,214.95,44,3.30
1778403078,95,10643,67,215.17,44,3.30
1778403079,96,10643,67,215.31,44,3.30
1778403080,96,10643,67,215.55,44,3.30
1778403082,97,10643,67,215.34,44,3.20
1778403083,94,10643,67,214.90,44,3.20
1778403085,97,10643,66,208.87,44,3.20
1778403086,97,10643,67,208.69,44,3.20
1778403087,97,10643,66,208.91,44,3.26
1778403089,97,10643,66,208.85,44,3.26
1778403090,96,10643,66,209.11,44,3.26
1778403092,97,10643,67,208.32,44,3.08
1778403093,97,10643,66,208.82,44,3.08
1778403095,97,10643,66,208.85,44,3.08
1778403096,97,10643,66,208.62,44,3.08
1778403097,97,10643,66,209.05,44,2.83
1778403099,97,10643,66,208.38,44,2.83
1778403100,97,10643,66,208.99,44,2.83
1778403102,96,10643,66,208.93,44,3.09
1778403103,97,10643,66,208.26,44,3.09
1778403105,96,10643,66,207.85,44,3.09
1778403106,95,10643,66,208.17,44,2.92
1778403108,97,10643,66,208.23,44,2.92
1778403109,96,10643,66,208.65,44,2.92
1778403111,97,10643,66,208.45,44,2.92
1778403112,97,10643,66,208.35,44,2.76
1778403114,97,10643,66,208.69,44,2.76
1778403115,96,10643,66,208.29,44,2.76
1778403116,97,10643,66,207.93,44,2.78
1778403118,97,10643,66,208.88,45,2.78
1778403119,97,10643,66,208.45,44,2.78
1778403121,96,10643,66,208.38,44,2.78
1778403122,96,10643,66,208.65,45,2.96
1778403124,97,10643,66,208.79,44,2.96
1778403125,97,10643,66,208.51,45,2.96
1778403126,96,10643,67,208.18,45,2.80
1778403128,96,10643,66,208.41,45,2.80
1778403129,97,10643,66,208.31,45,2.80
1778403131,97,10643,66,208.16,44,2.80
1778403132,96,10643,66,208.42,45,2.82
1778403134,97,10643,66,208.56,45,2.82
1778403135,97,10643,66,207.32,45,2.82
1778403137,96,10643,66,208.42,45,2.91
1778403138,97,10643,66,208.12,45,2.91
1778403140,97,10643,66,208.45,45,2.91
1778403142,97,10643,66,208.38,45,2.76
1778403143,96,10643,66,208.45,45,2.76
1778403144,97,10643,66,208.70,45,2.76
1778403146,97,10643,66,208.06,45,2.76
1778403147,96,10643,66,208.42,45,2.86
1778403149,97,10643,66,208.50,45,2.86
1778403150,97,10643,66,208.49,45,2.86
1778403152,97,10643,66,208.85,45,2.87
1778403153,97,10643,66,208.28,45,2.87
1778403155,97,10643,66,208.21,45,2.87
1778403157,97,10643,66,208.37,45,2.80
1778403158,97,10643,66,208.44,45,2.80
1778403160,97,10643,66,207.90,45,2.80
1778403161,97,10643,67,208.33,45,3.14
1778403163,97,10643,66,208.60,45,3.14
1778403165,97,10643,66,208.71,45,3.14
1778403167,97,10643,65,208.26,45,3.12
1778403172,96,10643,66,208.46,45,2.95
1778403174,97,10643,66,208.26,45,2.95
1778403175,97,10643,66,208.54,45,2.95
1778403177,97,10643,66,208.24,45,2.80
1778403178,96,10643,66,207.89,45,2.80
1778403180,97,10643,66,208.41,45,2.80
1778403181,97,10643,66,208.18,45,2.80
1778403183,97,10643,66,208.55,45,2.73
1778403184,97,10643,66,208.90,45,2.73
1778403186,97,10643,66,208.50,45,2.73
1778403187,96,10643,66,208.64,45,2.75
1778403188,97,10643,66,208.87,45,2.75
1778403190,97,10643,66,208.83,45,2.75
1778403191,96,10643,66,208.55,45,2.85
1778403193,97,10643,66,208.64,45,2.85
1778403194,97,10643,66,208.55,45,2.85
1778403196,97,10643,66,208.46,45,2.85
1778403197,96,10643,66,208.41,45,2.79
1778403199,96,10643,66,208.32,45,2.79
1778403200,96,10643,66,208.33,45,2.79
