ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778403465,3,11187,54,49.29,46,2.06
1778403466,14,11187,52,35.10,46,2.06
1778403468,32,11189,51,36.81,44,1.97
1778403469,4,11370,50,35.53,41,1.97
1778403471,74,11402,53,72.45,38,1.97
1778403472,16,11410,52,65.49,35,2.21
1778403474,16,11410,50,52.29,33,2.21
1778403475,15,11410,50,45.73,32,2.21
1778403477,9,10617,49,33.45,31,2.60
1778403478,32,10619,50,52.11,30,2.60
1778403480,16,10619,48,39.63,30,2.60
1778403481,97,10625,61,207.14,30,2.60
1778403483,97,10625,62,208.13,30,2.55
1778403484,96,10625,62,209.29,30,2.55
1778403486,96,10625,63,209.73,30,2.55
1778403487,96,10625,63,210.29,30,2.50
1778403488,96,10625,64,210.19,30,2.50
1778403490,97,10625,64,211.05,31,2.50
1778403491,97,10625,64,211.30,31,2.50
1778403493,97,10627,64,198.79,33,2.46
1778403494,96,10627,65,212.00,34,2.46
1778403495,97,10627,65,212.33,35,2.46
1778403497,96,10627,65,212.24,36,2.59
1778403498,97,10627,65,212.49,37,2.59
1778403500,97,10627,66,213.20,37,2.59
1778403501,95,10627,66,213.30,38,2.59
1778403503,97,10627,66,213.81,39,2.62
1778403504,97,10627,66,214.14,39,2.62
1778403505,97,10627,66,214.22,40,2.62
1778403507,97,10627,66,214.38,40,2.65
1778403508,96,10627,67,214.55,41,2.65
1778403509,97,10627,67,214.99,41,2.65
1778403511,97,10627,67,214.71,42,2.65
1778403512,96,10627,67,214.96,42,2.60
1778403514,96,10627,67,214.60,42,2.60
1778403515,97,10627,67,215.02,43,2.60
1778403516,97,10627,68,215.53,43,2.60
1778403518,96,10627,67,215.50,43,2.63
1778403519,97,10627,68,215.50,43,2.63
1778403521,96,10627,67,215.33,44,2.63
1778403522,96,10627,69,207.04,44,2.58
1778403523,96,10627,67,215.38,44,2.58
1778403525,95,10627,67,214.65,44,2.58
1778403526,96,10627,67,215.07,44,2.58
1778403527,97,10627,67,214.98,44,2.37
1778403529,96,10627,67,215.13,44,2.37
1778403530,96,10627,67,215.30,45,2.37
1778403532,97,10627,67,215.56,45,2.50
1778403533,96,10627,67,214.99,45,2.50
1778403534,97,10627,67,215.86,45,2.50
1778403536,96,10627,68,215.28,45,2.50
1778403537,4,10635,59,182.78,45,2.30
1778403539,32,5605,55,51.01,45,2.30
1778403540,20,11343,55,53.78,45,2.30
1778403541,32,11343,53,45.19,45,2.30
1778403543,4,11343,52,36.10,44,2.28
1778403544,22,11347,54,67.68,42,2.28
1778403546,22,11347,54,72.15,40,2.28
1778403547,23,11347,53,70.13,38,2.17
1778403549,31,11347,52,74.69,37,2.17
1778403550,32,11347,51,44.43,36,2.17
1778403552,41,11347,50,44.33,35,2.16
1778403553,39,11347,49,43.51,33,2.16
1778403555,34,11347,50,42.78,32,2.16
1778403556,40,11347,49,42.83,31,2.16
1778403558,42,11347,49,42.42,30,1.99
1778403559,31,11347,48,42.41,30,1.99
1778403561,38,11347,48,42.48,30,1.99
1778403562,44,11347,48,42.22,30,1.99
1778403564,43,11347,48,41.90,30,1.99
1778403565,40,11347,48,41.86,30,1.99
1778403567,44,11347,47,41.86,30,2.15
1778403568,43,11347,46,41.78,30,2.15
1778403570,45,11347,46,41.68,30,2.15
1778403571,37,11347,46,41.01,30,2.15
1778403572,45,11347,46,41.48,30,2.22
1778403574,44,11347,46,41.22,30,2.22
1778403575,25,11347,47,57.24,30,2.22
1778403577,40,11347,46,47.66,30,2.04
1778403578,32,11347,46,41.92,30,2.04
1778403580,42,11347,45,42.67,30,2.04
1778403581,30,11347,45,41.83,30,2.04
