ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778403585,11,11356,43,22.63,30,2.04
1778403586,88,10617,45,35.38,30,2.04
1778403588,61,10619,45,50.65,30,2.03
1778403589,96,10625,56,148.57,30,2.03
1778403590,97,10625,57,204.63,30,2.03
1778403592,96,10625,58,205.21,30,2.03
1778403593,96,10625,59,206.34,30,1.95
1778403594,96,10625,59,206.22,30,1.95
1778403596,96,10625,59,206.70,30,1.95
1778403597,96,10625,60,207.17,30,1.95
1778403599,96,10625,60,207.36,30,1.95
1778403600,97,10625,61,208.09,30,1.95
1778403601,97,10625,61,208.08,30,1.95
1778403603,97,10625,62,208.74,30,1.96
1778403604,95,10625,62,208.65,30,1.96
1778403605,96,10625,62,209.57,30,1.96
1778403607,97,10625,63,210.28,30,2.04
1778403608,96,10625,63,210.19,30,2.04
1778403610,97,10625,63,210.58,30,2.04
1778403611,96,10625,63,210.74,30,2.04
1778403612,97,10625,64,211.77,31,2.04
1778403614,97,10625,64,211.79,32,2.04
1778403615,96,10625,65,212.04,33,2.04
1778403617,97,10625,65,212.16,34,2.04
1778403618,96,10625,65,212.42,34,1.95
1778403619,97,10625,65,212.99,35,1.95
1778403621,97,10625,66,213.53,36,1.95
1778403622,97,10625,66,213.83,37,2.04
1778403623,97,10625,66,213.84,37,2.04
1778403625,96,10625,65,213.42,38,2.04
1778403626,96,10625,66,213.76,38,2.04
1778403628,97,10625,66,214.18,39,2.19
1778403629,96,10625,66,214.16,39,2.19
1778403630,97,10625,66,214.63,40,2.19
1778403632,97,10625,67,214.66,40,2.19
1778403633,96,10625,66,214.07,41,2.18
1778403635,96,10625,67,214.92,41,2.18
1778403636,97,10625,67,215.52,41,2.18
1778403637,97,10625,67,215.39,41,2.08
1778403639,96,10625,67,215.30,42,2.08
1778403640,96,10625,67,215.35,42,2.08
1778403642,97,10625,67,215.70,42,2.08
1778403643,97,10625,67,215.34,43,2.00
1778403644,97,10625,67,215.53,43,2.00
1778403646,96,10625,67,215.50,43,2.00
1778403647,97,10625,67,214.91,43,1.84
1778403649,96,10625,66,215.38,43,1.84
1778403650,96,10625,67,215.21,44,1.84
1778403652,96,10625,67,215.28,44,1.84
1778403653,96,10625,67,215.94,44,1.85
1778403654,97,10625,67,215.73,44,1.85
1778403656,96,10625,67,216.04,44,1.85
1778403657,68,10625,60,211.60,44,1.94
1778403658,96,10625,67,211.93,44,1.94
1778403660,97,10625,67,212.19,44,1.94
1778403661,96,10625,67,211.91,44,1.94
1778403663,97,10625,67,212.05,45,1.87
1778403664,97,10625,67,212.35,45,1.87
1778403665,96,10625,67,212.05,45,1.87
1778403667,96,10625,67,212.18,45,1.87
1778403668,97,10625,67,212.49,45,1.96
1778403670,96,10625,67,212.51,45,1.96
1778403671,96,10625,67,212.32,45,1.96
1778403672,10,10951,55,51.03,45,1.88
1778403674,44,11343,55,56.01,44,1.88
1778403675,3,11343,53,51.03,44,1.88
1778403677,23,11347,55,84.99,44,1.88
1778403678,22,11347,52,68.92,43,1.81
1778403680,21,11347,53,61.19,42,1.81
1778403681,37,11347,51,71.31,40,1.81
1778403683,30,11347,50,44.09,39,2.06
1778403684,30,11347,50,43.38,37,2.06
1778403685,32,11347,50,43.04,35,2.06
1778403687,42,11347,49,43.28,33,1.98
1778403688,43,11347,49,42.90,31,1.98
1778403690,30,11347,49,41.89,31,1.98
1778403691,40,11347,49,42.00,30,1.98
1778403693,38,11347,48,41.89,30,1.98
1778403694,31,11347,48,41.70,30,1.98
1778403696,37,11347,48,41.68,30,1.98
1778403697,44,11347,47,41.67,30,1.90
1778403699,35,11347,47,41.29,30,1.90
1778403700,31,11347,46,41.01,30,1.90
1778403702,43,11347,47,40.99,30,1.90
1778403703,31,11347,46,40.85,30,1.83
1778403704,37,11347,47,40.56,30,1.83
1778403706,41,11347,46,41.00,30,1.83
1778403707,42,11347,46,40.88,30,1.84
1778403709,34,11347,46,40.63,30,1.84
1778403710,40,11347,46,41.01,30,1.84
1778403712,40,11347,46,41.07,30,1.84
1778403713,40,11347,45,41.00,30,1.94
1778403715,42,11347,45,41.18,30,1.94
1778403716,33,11347,44,40.28,30,1.94
1778403718,44,11347,45,40.47,30,1.86
1778403719,32,11347,44,40.27,30,1.86
1778403721,37,11347,45,40.05,30,1.86
1778403722,39,11347,44,39.83,30,1.79
