ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778403772,9,10627,52,40.28,38,1.75
1778403773,96,10627,63,202.29,38,1.69
1778403775,97,10627,65,210.93,38,1.69
1778403776,96,10627,65,211.05,38,1.69
1778403777,97,10627,65,211.62,38,1.55
1778403779,97,10627,65,211.57,38,1.55
1778403780,97,10627,65,212.17,38,1.55
1778403782,96,10627,65,212.48,38,1.55
1778403783,97,10627,65,212.44,38,1.51
1778403784,97,10627,66,212.65,38,1.51
1778403786,96,10627,66,212.46,38,1.51
1778403787,97,10627,66,213.22,39,1.51
1778403789,97,10627,66,213.57,39,1.55
1778403790,96,10627,66,213.81,39,1.55
1778403791,96,10627,66,214.39,40,1.55
1778403793,97,10627,66,214.37,40,1.50
1778403794,97,10627,67,214.20,41,1.50
1778403796,96,10627,67,214.41,41,1.50
1778403797,97,10627,67,214.60,41,1.50
1778403798,97,10627,67,214.93,42,1.46
1778403800,97,10627,66,214.29,42,1.46
1778403801,96,10627,66,213.81,42,1.46
1778403803,96,10627,67,213.08,42,1.75
1778403804,96,10627,67,213.09,43,1.75
1778403805,97,10627,67,213.41,43,1.75
1778403807,97,10627,67,212.87,43,1.75
1778403808,97,10627,67,213.45,43,2.01
1778403810,96,10627,67,213.43,43,2.01
1778403811,97,10627,67,213.25,43,2.01
1778403812,68,10627,60,209.49,43,1.93
1778403814,95,10627,67,213.58,43,1.93
1778403815,96,10627,67,214.55,44,1.93
1778403816,96,10627,67,214.36,44,1.93
1778403818,96,10627,67,214.80,44,1.77
1778403819,97,10627,67,214.33,44,1.77
1778403821,97,10627,67,214.38,44,1.77
1778403822,96,10627,67,214.44,44,1.77
1778403823,98,10627,67,214.52,44,1.63
1778403825,96,10627,67,214.85,44,1.63
1778403826,97,10627,67,214.81,44,1.63
1778403828,96,10627,67,215.01,44,1.90
1778403829,96,10627,67,215.26,44,1.90
1778403831,97,10627,67,214.78,45,1.90
1778403832,97,10627,67,214.83,45,1.90
1778403833,97,10627,67,214.65,45,1.83
1778403835,97,10627,67,215.10,45,1.83
1778403836,97,10627,68,215.04,45,1.83
1778403838,96,10627,68,215.10,45,1.68
1778403839,97,10627,68,214.67,45,1.68
1778403840,95,10627,67,215.40,45,1.68
1778403842,97,10627,67,215.72,45,1.68
1778403843,96,10627,68,215.27,45,1.95
1778403845,96,10627,67,215.44,45,1.95
1778403846,97,10627,67,215.59,45,1.95
1778403847,96,10627,68,215.35,45,1.95
1778403849,97,10627,67,215.93,46,2.03
1778403850,97,10627,67,216.03,46,2.03
1778403852,97,10497,68,216.85,45,2.03
1778403853,96,10497,68,219.79,46,2.11
1778403854,97,10497,68,219.37,46,2.11
1778403856,96,10497,67,219.15,46,2.11
1778403857,96,10497,68,218.80,46,2.11
1778403858,95,10497,67,219.09,46,2.34
1778403860,96,10497,68,219.32,46,2.34
1778403861,96,10497,68,219.02,46,2.34
1778403863,96,10497,68,219.29,46,2.39
1778403864,96,10497,68,219.17,46,2.39
1778403865,97,10497,68,219.28,46,2.39
1778403867,96,10497,68,219.40,46,2.39
1778403868,97,10497,68,219.07,46,2.20
1778403870,97,10497,68,219.43,46,2.20
1778403871,96,10497,68,219.26,47,2.20
1778403873,97,10497,68,218.89,46,2.02
1778403874,96,10497,68,219.09,47,2.02
1778403875,97,10497,68,219.09,47,2.02
1778403877,96,10497,68,219.08,47,2.02
1778403878,96,10497,68,219.17,47,2.34
1778403880,0,10696,57,123.46,47,2.34
1778403881,40,11211,55,51.81,47,2.34
1778403882,38,11213,55,52.79,46,2.39
