ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778403995,100,10822,55,34.96,45,2.58
1778403997,97,10822,65,210.53,44,2.58
1778403998,96,10822,65,212.14,44,2.93
1778403999,97,10822,65,210.46,44,2.93
1778404001,97,10822,66,210.57,44,2.93
1778404002,97,10822,66,210.72,44,2.93
1778404004,97,10822,66,210.83,44,2.78
1778404005,97,10822,66,210.65,44,2.78
1778404007,96,10822,66,210.55,44,2.78
1778404008,96,10822,66,210.95,44,2.71
1778404009,97,10822,66,211.15,44,2.71
1778404011,96,10822,66,210.70,44,2.71
1778404012,97,10822,66,211.80,44,2.71
1778404014,97,10822,66,211.50,44,2.74
1778404015,96,10822,67,211.77,44,2.74
1778404017,96,10822,66,211.41,44,2.74
1778404018,96,10822,66,211.76,44,2.68
1778404019,97,10824,67,197.26,44,2.68
1778404021,95,10824,67,210.94,44,2.68
1778404022,97,10824,67,211.27,44,2.68
1778404024,96,10824,67,211.31,44,3.34
1778404025,96,10824,67,211.31,44,3.34
1778404027,96,10824,67,211.34,44,3.34
1778404028,96,10824,67,211.52,44,3.24
1778404030,97,10824,67,211.20,44,3.24
1778404031,96,10824,67,211.76,44,3.24
1778404033,97,10824,67,211.46,44,3.24
1778404034,95,10824,67,211.87,44,3.22
1778404035,96,10824,67,211.97,45,3.22
1778404037,97,10824,67,211.92,44,3.22
1778404039,97,10824,67,212.04,45,3.20
1778404040,96,10824,67,212.78,44,3.20
1778404041,96,10824,67,212.54,45,3.20
1778404043,96,10824,67,212.50,45,3.18
1778404044,97,10824,67,203.95,45,3.18
1778404046,96,10824,67,213.82,45,3.18
1778404047,96,10824,67,214.26,45,3.18
1778404049,97,10824,67,214.11,45,3.33
1778404050,96,10824,67,214.06,45,3.33
1778404051,97,10824,67,214.48,45,3.33
1778404053,96,10824,67,214.51,45,3.22
1778404054,97,10824,67,214.74,45,3.22
1778404056,97,10824,67,214.36,45,3.22
