ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778404388,15,11090,45,22.04,0,3.57
1778404390,86,10813,46,35.25,0,3.57
1778404391,30,10815,47,49.67,0,3.57
1778404392,31,10815,46,41.16,0,3.57
1778404394,96,10821,58,200.62,0,3.60
1778404395,96,10821,60,205.51,0,3.60
1778404397,96,10821,61,206.81,0,3.60
1778404398,96,10821,62,208.82,30,3.48
1778404400,96,10821,62,210.10,30,3.48
1778404401,97,10821,62,209.13,30,3.48
1778404402,97,10821,63,209.48,30,3.48
1778404404,97,10821,63,209.82,30,3.52
1778404405,96,10821,64,209.79,30,3.52
1778404407,96,10821,64,210.74,31,3.52
1778404408,96,10821,64,210.54,32,3.80
1778404410,96,10821,64,211.20,33,3.80
1778404411,97,10821,65,210.80,34,3.80
1778404412,97,10821,65,211.92,35,3.80
1778404414,96,10821,65,212.17,36,3.57
1778404415,95,10821,65,212.15,36,3.57
1778404417,97,10821,66,211.95,37,3.57
1778404418,96,10821,66,212.68,38,3.53
1778404420,97,10821,66,213.08,38,3.53
1778404421,97,10821,66,213.17,38,3.53
1778404423,95,10821,65,212.58,39,3.53
1778404424,97,10821,66,213.54,39,3.72
1778404426,96,10821,66,213.54,40,3.72
1778404427,96,10821,66,213.78,40,3.72
1778404428,95,10821,66,213.91,40,3.67
1778404430,96,10821,66,214.05,41,3.67
1778404431,97,10821,67,214.45,41,3.67
1778404433,96,10821,67,214.23,41,3.67
1778404434,96,10821,67,214.65,42,3.61
1778404436,97,10821,67,214.58,42,3.61
1778404437,97,10821,67,214.50,42,3.61
1778404438,97,10821,67,214.58,42,3.64
1778404440,96,10821,67,214.20,42,3.64
1778404441,97,10821,67,214.31,43,3.64
1778404443,97,10821,67,215.14,43,3.64
1778404444,96,10821,67,214.42,43,3.83
1778404445,97,10821,67,214.74,43,3.83
1778404447,96,10821,67,214.87,43,3.83
1778404448,97,10821,66,215.15,43,3.92
1778404450,97,10821,67,215.06,43,3.92
1778404451,96,10821,67,216.04,44,3.92
1778404452,96,10821,67,215.37,44,3.92
1778404454,97,10821,67,215.32,44,3.85
1778404455,96,10821,67,215.36,44,3.85
1778404457,97,10821,67,214.98,44,3.85
1778404458,96,10821,67,215.33,44,3.85
1778404459,97,10821,67,214.60,44,3.94
1778404461,97,10821,67,215.53,44,3.94
1778404462,97,10821,67,216.02,44,3.94
1778404464,96,10821,67,215.17,44,3.71
1778404465,96,10821,67,215.53,45,3.71
1778404467,97,10821,67,215.33,45,3.71
1778404468,95,10821,67,215.46,45,3.71
1778404470,97,10821,67,215.99,45,3.65
1778404471,97,10821,67,213.06,45,3.65
1778404472,97,10821,67,209.27,45,3.65
1778404474,97,10821,67,208.96,45,3.68
1778404475,97,10821,66,208.90,45,3.68
1778404477,97,10821,67,209.21,45,3.68
1778404478,96,10821,67,208.53,45,3.68
1778404479,97,10821,67,208.36,45,3.78
1778404481,96,10821,66,208.63,45,3.78
1778404482,97,10821,66,208.68,45,3.78
1778404484,97,10821,66,208.33,45,3.64
1778404485,97,10821,66,208.54,45,3.64
1778404487,96,10821,66,208.32,45,3.64
1778404489,97,10821,67,208.76,45,3.91
1778404490,97,10821,66,208.38,45,3.91
1778404492,96,10821,67,208.92,45,3.91
1778404493,97,10821,66,208.49,45,3.91
1778404494,96,10821,66,208.56,45,4.16
1778404496,97,10821,66,208.85,45,4.16
1778404498,96,10821,66,208.20,45,4.16
1778404499,97,10821,66,208.40,45,4.70
1778404500,96,10821,66,208.64,45,4.70
1778404502,97,10821,66,207.92,45,4.70
1778404503,97,10821,66,208.25,45,4.65
1778404505,96,10821,66,208.78,46,4.65
1778404506,97,10821,66,208.31,45,4.65
1778404508,97,10821,66,208.55,45,4.65
1778404509,96,10821,66,208.77,45,4.59
1778404510,97,10821,67,208.40,45,4.59
1778404512,96,10821,66,208.82,45,4.59
1778404513,97,10821,66,208.04,45,4.47
1778404515,97,10821,66,208.82,46,4.47
1778404516,97,10821,67,208.77,46,4.47
1778404517,97,10821,66,208.55,46,4.47
1778404519,96,10821,66,208.72,45,4.67
1778404520,97,10821,66,209.12,46,4.67
1778404522,96,10821,66,208.75,45,4.67
1778404523,96,10821,66,208.58,46,4.62
1778404525,97,10821,66,208.71,46,4.62
1778404526,97,10821,66,208.23,46,4.62
1778404527,97,10821,66,208.52,46,4.62
1778404529,97,10821,66,208.21,46,4.57
1778404530,96,10821,66,208.83,46,4.57
1778404532,97,10821,66,207.97,46,4.57
1778404533,3,10821,59,184.76,46,4.60
