ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778404537,13,10821,52,25.07,45,4.60
1778404538,96,10821,64,201.16,44,4.55
1778404540,96,10821,64,204.05,43,4.55
1778404541,96,10821,65,204.80,42,4.55
1778404543,97,10821,64,204.66,41,4.55
1778404544,96,10821,65,204.56,40,4.75
1778404545,97,10821,65,205.05,40,4.75
1778404547,97,10821,65,205.43,40,4.75
1778404548,96,10821,65,204.72,40,4.45
1778404550,97,10821,66,205.10,40,4.45
1778404551,96,10823,65,193.43,40,4.45
1778404553,96,10823,66,206.12,40,4.45
1778404554,97,10823,66,205.93,40,5.45
1778404555,96,10823,66,207.12,40,5.45
1778404557,96,10823,66,206.86,40,5.45
1778404558,97,10823,66,206.18,40,5.26
1778404560,96,10823,66,207.04,40,5.26
1778404561,97,10823,66,207.15,41,5.26
1778404563,97,10823,66,206.65,41,5.26
1778404564,96,10823,66,207.04,41,5.00
1778404565,96,10823,66,207.80,41,5.00
1778404567,97,10823,67,208.01,41,5.00
1778404568,97,10823,67,207.75,41,4.83
1778404570,97,10823,67,208.05,42,4.83
1778404571,97,10823,67,207.98,42,4.83
1778404573,96,10823,67,208.29,42,4.83
1778404574,97,10823,67,208.08,42,4.77
1778404575,97,10823,67,208.20,43,4.77
1778404577,97,10823,67,208.53,43,4.77
1778404578,96,10823,67,208.62,43,4.79
