ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778404582,8,10823,53,27.29,43,4.79
1778404583,11,10823,52,25.32,43,4.79
1778404584,3,1752,52,30.37,42,4.56
1778404586,4,11383,52,48.67,39,4.56
1778404588,3,11383,51,42.02,37,4.56
1778404589,32,11385,50,35.55,35,4.52
1778404591,30,11385,50,35.84,33,4.52
1778404592,54,11385,51,46.16,31,4.52
1778404594,14,11393,51,73.06,30,4.24
1778404595,14,11393,52,62.51,30,4.24
1778404597,22,11393,49,33.81,30,4.24
1778404598,26,11393,49,33.38,30,4.30
1778404600,33,11393,48,32.84,30,4.30
1778404601,35,11393,48,32.35,30,4.30
1778404603,28,11393,47,32.06,30,4.30
1778404604,31,11393,47,31.96,30,4.27
1778404606,10,11393,46,26.81,30,4.27
