ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778404610,34,11393,45,18.94,30,4.25
1778404611,26,11393,45,15.77,30,4.25
1778404612,6,1577,45,21.12,30,4.25
1778404614,3,10695,45,33.86,30,4.31
1778404615,32,11245,46,49.02,30,4.31
1778404617,32,11245,45,38.29,30,4.31
1778404618,4,11245,45,33.69,30,4.31
1778404620,21,11249,48,85.08,30,4.21
1778404621,39,11249,46,64.55,30,4.21
1778404623,33,11249,45,40.07,30,4.21
1778404624,40,11249,45,40.03,30,4.43
1778404626,40,11249,44,39.36,30,4.43
1778404627,41,11249,44,39.25,30,4.43
1778404629,40,11249,45,39.09,30,4.31
1778404630,30,11249,44,38.12,30,4.31
1778404632,41,11249,44,37.90,30,4.31
1778404633,34,11249,44,38.23,30,4.31
1778404635,7,11249,43,30.58,30,4.77
