ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778404638,23,11249,42,22.02,30,4.95
1778404640,35,11249,41,15.81,0,4.95
1778404641,11,1573,42,31.60,0,4.95
1778404643,30,11161,44,49.43,0,4.95
1778404644,30,11161,43,45.70,0,4.87
1778404646,64,11167,52,129.60,0,4.87
1778404647,63,11167,53,146.53,0,4.87
1778404648,63,11167,54,145.61,0,4.80
1778404650,64,11167,52,146.77,0,4.80
1778404651,63,11167,54,146.39,0,4.80
1778404653,63,11167,56,148.24,0,4.80
1778404654,63,11167,54,147.84,0,4.58
1778404656,62,11167,57,147.37,0,4.58
1778404657,65,11167,57,149.20,30,4.58
1778404658,63,11167,56,150.75,30,4.53
1778404660,63,11167,58,149.08,30,4.53
1778404661,64,11167,55,151.01,30,4.53
1778404663,64,11167,58,149.24,30,4.53
1778404664,63,11167,58,150.64,30,4.41
1778404666,64,11167,57,151.13,30,4.41
1778404667,65,11167,59,149.79,30,4.41
1778404669,63,11167,59,150.05,30,4.38
1778404670,65,11167,59,150.29,30,4.38
