ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778404673,10,11167,48,23.58,30,4.34
1778404675,18,11167,47,23.13,30,4.34
1778404676,12,1571,48,33.88,30,4.34
1778404678,4,11383,48,46.48,30,4.34
1778404679,4,11383,47,40.09,30,4.32
1778404681,33,11385,47,35.81,30,4.32
1778404682,29,11385,46,35.78,30,4.32
1778404684,52,11385,48,47.53,30,4.05
1778404685,79,11393,51,84.20,30,4.05
1778404687,14,11393,48,62.29,30,4.05
1778404688,26,11393,46,34.53,30,4.05
1778404689,28,11393,46,32.96,30,3.97
1778404691,32,11393,45,32.66,30,3.97
1778404692,27,11393,45,32.39,30,3.97
1778404694,37,11393,45,32.20,30,3.89
1778404695,37,11393,44,31.98,30,3.89
1778404697,35,11393,44,31.71,30,3.89
1778404698,35,11393,44,31.67,30,3.98
1778404700,31,11393,43,31.53,30,3.98
1778404701,43,11393,44,31.33,30,3.98
1778404703,34,11393,43,31.52,30,3.98
1778404704,12,11393,42,24.67,30,3.82
