ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778404708,36,11393,42,18.21,30,3.82
1778404709,31,11393,41,15.38,0,3.83
1778404711,4,1577,42,17.79,0,3.83
1778404712,4,11243,42,33.14,0,3.83
1778404713,31,11245,44,48.19,0,3.69
1778404715,31,11245,43,37.94,0,3.69
1778404716,4,11245,43,33.67,0,3.69
1778404718,18,11249,45,77.15,0,3.69
1778404719,21,11249,45,70.12,0,3.71
1778404721,36,11249,44,40.03,0,3.71
1778404722,40,11249,44,39.73,0,3.71
1778404724,29,11249,44,39.24,0,3.89
1778404725,41,11249,44,39.31,0,3.89
1778404727,30,11249,44,38.51,0,3.89
1778404729,34,11249,45,38.38,0,4.14
1778404730,35,11249,45,37.97,0,4.14
1778404732,32,11249,45,38.14,0,4.14
1778404733,34,11249,45,37.81,0,4.14
1778404735,39,11249,46,37.85,0,3.97
1778404736,46,11249,45,38.17,0,3.97
1778404738,46,11249,45,38.10,0,3.97
1778404739,46,11249,45,38.19,0,3.97
1778404740,42,11249,45,37.76,0,3.97
1778404742,45,11249,46,38.00,0,3.97
1778404743,45,11249,46,38.05,0,3.90
1778404745,45,11249,46,38.07,0,3.90
1778404746,38,11249,46,37.87,0,3.90
1778404748,32,11249,46,37.96,0,3.90
1778404749,33,11249,46,37.84,0,3.98
1778404751,33,11249,46,37.93,0,3.98
1778404752,39,11249,46,38.34,0,3.98
1778404754,41,11249,47,38.04,0,3.98
1778404755,34,11249,46,37.79,0,3.98
1778404757,36,11249,46,38.02,0,3.98
1778404758,39,11249,47,38.15,0,3.98
1778404759,32,11249,46,38.14,0,3.91
1778404761,43,11249,47,38.29,0,3.91
1778404763,32,11249,47,37.87,0,3.91
1778404764,37,11249,47,38.12,0,3.91
1778404765,45,11249,47,38.57,0,3.91
