ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778404769,21,11249,46,22.18,0,3.92
1778404770,26,11249,46,22.25,0,3.92
1778404772,5,1573,47,31.63,0,3.92
1778404773,28,11159,48,44.71,0,3.92
1778404775,28,11161,48,49.89,0,4.25
1778404776,62,11167,54,121.35,0,4.25
1778404777,62,11167,57,147.12,0,4.25
1778404779,64,11167,56,149.32,0,4.47
1778404780,65,11167,59,148.42,0,4.47
1778404782,64,11167,57,149.46,0,4.47
1778404783,63,11167,59,149.45,0,4.47
1778404785,64,11167,60,150.57,0,4.35
1778404786,63,11167,58,151.26,0,4.35
1778404788,65,11167,61,152.11,30,4.35
1778404789,64,11167,59,152.57,30,4.24
1778404790,64,11167,60,151.17,30,4.24
1778404792,63,11167,62,152.07,30,4.24
1778404793,64,11167,60,153.25,30,4.24
1778404795,62,11167,61,151.94,30,3.98
1778404796,64,11167,60,153.26,30,3.98
1778404798,62,11167,61,151.82,30,3.98
1778404799,63,11167,62,151.75,30,4.06
1778404801,65,11167,62,151.68,30,4.06
1778404802,64,11167,59,153.07,30,4.06
1778404803,63,11167,59,152.27,30,3.82
1778404805,63,11167,61,152.43,30,3.82
1778404806,65,11167,62,152.14,30,3.82
1778404808,65,11167,62,153.55,30,3.82
1778404809,64,11167,59,153.92,30,3.99
1778404811,63,11167,59,153.55,30,3.99
1778404812,64,11167,62,152.78,30,3.99
1778404814,63,11167,62,153.03,30,3.67
1778404815,63,11167,62,153.09,30,3.67
1778404816,64,11167,62,153.38,30,3.67
1778404818,65,11167,62,153.62,30,3.67
1778404819,64,11167,62,153.69,30,3.62
1778404821,65,11167,61,153.71,30,3.62
1778404822,64,11167,61,153.68,30,3.62
1778404824,65,11167,60,153.96,30,3.49
1778404825,64,11167,60,154.27,30,3.49
1778404827,65,11167,59,154.38,30,3.49
1778404828,65,11167,60,154.67,30,3.49
1778404829,64,11167,61,154.04,30,3.53
1778404831,63,11167,62,153.78,30,3.53
1778404832,63,11167,62,154.15,30,3.53
1778404834,65,11167,61,154.84,30,3.73
1778404835,62,11167,60,154.01,30,3.73
1778404837,63,11167,62,153.86,30,3.73
1778404838,61,11167,62,154.43,30,3.73
1778404839,65,11167,61,155.09,30,3.43
1778404841,63,11167,61,153.68,30,3.43
1778404842,64,11167,63,154.12,30,3.43
1778404844,65,11167,60,155.41,30,3.47
1778404845,65,11167,63,154.58,30,3.47
1778404847,64,11167,63,155.13,30,3.47
1778404848,65,11167,62,154.79,30,3.47
1778404849,65,11167,61,155.68,30,3.59
1778404851,65,11167,63,154.60,30,3.59
1778404852,65,11167,60,155.29,30,3.59
1778404854,64,11167,62,154.81,30,3.55
1778404855,66,11167,62,154.11,30,3.55
1778404857,65,11167,62,155.78,30,3.55
1778404858,62,11167,63,153.31,30,3.55
1778404860,62,11167,63,154.72,30,3.58
1778404861,65,11167,62,155.01,30,3.58
1778404863,65,11167,62,154.95,30,3.58
1778404864,65,11167,61,155.65,30,3.38
1778404865,65,11167,62,154.71,30,3.38
1778404867,65,11167,63,154.39,30,3.38
1778404868,64,11167,61,155.61,30,3.38
1778404870,63,11167,60,155.86,30,3.51
1778404871,65,11167,63,154.71,31,3.51
1778404873,65,11167,63,155.08,31,3.51
1778404874,66,11167,61,156.53,31,3.55
1778404875,64,11167,63,155.83,31,3.55
