ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778404879,9,11167,52,25.39,31,3.74
1778404880,15,11167,51,23.90,31,3.74
1778404882,11,1754,51,31.96,31,3.74
1778404883,27,7653,52,52.24,30,3.74
1778404885,93,7659,62,146.15,30,3.68
1778404886,94,7659,63,202.06,30,3.68
1778404888,96,7659,64,204.24,30,3.68
1778404889,94,7659,64,204.14,30,4.27
1778404890,95,7659,64,204.60,31,4.27
1778404892,95,7659,65,204.76,32,4.27
1778404893,95,7659,65,205.68,33,4.27
1778404895,95,7659,65,205.81,35,4.01
1778404896,95,7659,65,206.24,36,4.01
