ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778404917,10,7659,51,27.70,35,4.46
1778404918,25,1360,50,17.71,35,4.58
1778404920,41,7651,50,31.16,34,4.58
1778404921,94,7659,61,134.99,33,4.58
1778404923,95,7659,62,202.90,31,4.58
1778404924,95,7659,63,203.33,30,4.54
1778404926,95,7659,63,203.98,30,4.54
1778404927,94,7659,64,205.12,30,4.54
1778404928,94,7659,64,204.83,31,4.49
1778404930,94,7659,64,205.39,31,4.49
1778404931,94,7659,65,205.63,32,4.49
1778404933,94,7659,65,206.44,34,4.49
1778404934,95,7659,65,206.39,35,4.61
