ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778404938,22,7659,51,22.19,36,4.61
1778404939,26,7659,50,17.33,36,4.96
1778404941,4,9749,50,33.86,35,4.96
1778404942,23,11001,51,55.09,33,4.96
1778404944,62,11007,58,149.67,31,4.65
1778404945,64,11007,58,148.66,31,4.65
1778404947,63,11007,59,149.34,30,4.65
1778404948,64,11007,58,149.66,30,4.65
1778404949,63,11007,58,149.78,30,4.51
1778404951,64,11007,58,150.40,30,4.51
1778404952,63,11007,59,150.15,30,4.51
1778404954,65,11007,58,151.28,30,4.47
1778404955,63,11007,59,149.96,30,4.47
1778404957,65,11007,60,149.40,30,4.47
1778404958,65,11007,57,151.30,30,4.47
1778404959,61,11007,60,149.46,30,4.60
1778404961,63,11007,60,150.21,30,4.60
1778404962,64,11007,58,151.95,30,4.60
1778404964,63,11007,59,151.04,30,4.55
1778404965,63,11007,61,151.13,30,4.55
1778404967,65,11007,59,152.22,30,4.55
1778404968,62,11007,60,151.49,30,4.55
1778404969,63,11007,60,151.41,30,4.42
1778404971,63,11007,60,151.19,30,4.42
1778404972,65,11007,61,151.77,30,4.42
1778404974,64,11007,59,152.29,30,4.71
1778404975,64,11007,58,152.34,30,4.71
1778404977,63,11007,59,151.24,30,4.71
1778404978,63,11007,60,152.49,30,4.71
1778404979,64,11007,60,152.25,30,4.81
1778404981,64,11007,59,152.22,30,4.81
1778404982,64,11007,60,152.29,30,4.81
1778404984,64,11007,61,152.12,30,4.67
1778404985,65,11007,59,152.23,30,4.67
1778404987,64,11007,59,152.15,30,4.67
1778404988,65,11007,60,153.19,30,4.67
1778404990,63,11007,60,152.61,30,4.53
1778404991,65,11007,60,152.74,30,4.53
1778404992,65,11007,59,153.61,30,4.53
1778404994,64,11007,60,152.59,30,4.81
1778404995,65,11007,61,153.82,30,4.81
1778404997,65,11007,60,153.90,30,4.81
1778404998,64,11007,62,153.79,30,4.81
1778405000,65,11007,62,154.37,30,4.67
1778405001,62,11007,62,153.86,30,4.67
1778405002,64,11007,63,153.71,30,4.67
1778405004,64,11007,62,154.49,30,4.61
1778405005,64,11007,61,154.31,30,4.61
1778405007,64,11007,60,153.75,30,4.61
1778405008,65,11007,62,153.50,30,4.61
1778405010,65,11007,62,154.28,30,4.32
1778405011,65,11007,61,154.77,30,4.32
1778405013,62,11007,63,153.47,30,4.32
1778405014,65,11007,62,153.93,30,4.30
1778405015,64,11007,60,154.67,30,4.30
1778405017,65,11007,63,153.94,30,4.30
1778405018,65,11007,62,155.03,30,4.30
1778405020,65,11007,60,154.52,30,4.35
1778405021,64,11007,63,154.31,30,4.35
1778405023,63,10992,62,154.37,30,4.35
1778405024,65,10992,62,153.43,30,4.24
1778405026,65,10992,61,154.64,30,4.24
1778405027,64,10992,63,154.43,30,4.24
1778405028,65,10992,60,156.27,30,4.24
1778405030,64,10992,63,155.25,30,4.46
1778405031,65,10992,62,156.43,30,4.46
1778405033,64,10992,61,155.78,30,4.46
1778405034,65,10992,63,154.36,30,4.35
1778405036,63,10992,61,155.12,31,4.35
1778405037,67,10992,62,155.90,31,4.35
1778405038,64,10992,63,155.31,31,4.35
1778405040,65,10992,61,156.31,31,4.32
1778405041,65,10992,61,156.37,31,4.32
1778405043,65,10992,63,154.98,31,4.32
1778405044,64,10992,61,155.74,31,4.13
1778405046,64,10992,63,155.28,31,4.13
1778405047,66,10992,63,155.46,31,4.13
1778405048,65,10992,62,157.02,31,4.13
1778405050,66,10992,62,155.87,32,4.12
1778405051,63,10992,63,154.92,32,4.12
1778405053,65,10992,63,154.70,32,4.12
1778405054,64,10992,63,155.62,32,3.95
1778405056,67,10992,60,155.61,32,3.95
1778405057,64,10992,62,155.07,32,3.95
1778405058,65,10992,61,156.46,32,3.95
1778405060,65,10992,60,157.06,32,3.88
1778405061,65,10992,61,155.70,32,3.88
1778405063,65,10992,62,155.41,32,3.88
1778405064,64,10992,63,155.68,32,4.12
1778405066,64,10992,63,155.32,32,4.12
1778405067,66,10992,63,156.55,32,4.12
1778405069,63,10992,63,155.67,32,4.12
1778405070,63,10992,63,155.35,32,4.27
1778405071,62,10992,63,155.31,32,4.27
1778405073,66,10992,60,155.64,32,4.27
1778405074,65,10992,64,155.70,32,4.33
1778405076,67,10992,62,155.79,32,4.33
1778405077,64,10992,61,156.24,32,4.33
1778405079,62,10992,62,156.13,32,4.07
1778405080,66,10992,60,156.19,32,4.07
1778405082,63,10992,63,155.71,32,4.07
1778405083,67,10992,62,156.29,32,4.07
1778405084,66,10992,62,157.03,32,3.90
1778405086,65,10992,63,156.95,32,3.90
1778405087,64,10992,63,156.41,32,3.90
1778405089,66,10992,61,156.60,32,3.91
1778405090,62,10992,63,156.42,33,3.91
1778405092,64,10992,63,156.27,33,3.91
1778405093,67,10992,60,156.45,33,3.91
1778405094,64,10992,64,156.68,33,3.83
1778405096,64,10992,60,155.95,33,3.83
1778405097,66,10992,63,157.06,33,3.83
1778405099,66,10992,63,156.49,33,3.69
1778405100,67,10992,62,157.52,33,3.69
1778405102,64,10992,63,156.42,33,3.69
1778405103,67,10992,63,156.76,33,3.69
1778405105,64,10992,64,156.23,33,3.71
1778405106,66,10992,60,156.55,33,3.71
1778405107,68,10992,62,157.01,33,3.71
1778405109,64,10992,63,156.65,33,3.82
1778405110,64,10992,61,157.11,33,3.82
1778405112,68,10992,62,157.79,33,3.82
1778405113,63,10992,61,156.36,33,3.82
1778405114,65,10992,60,156.75,33,3.59
1778405116,68,10992,62,157.90,33,3.59
1778405117,68,10992,62,157.51,33,3.59
1778405119,65,10992,63,156.99,33,3.62
1778405120,64,10992,62,157.44,33,3.62
1778405122,62,10992,61,156.57,33,3.62
1778405123,63,10992,63,155.99,33,3.62
1778405125,64,10992,63,156.71,33,3.81
1778405126,62,10992,63,156.06,33,3.81
1778405127,63,10992,63,156.42,33,3.81
1778405129,69,10992,62,157.53,33,3.83
1778405130,66,10992,63,157.34,33,3.83
1778405132,69,10992,62,157.48,33,3.83
1778405133,65,10992,61,158.03,33,3.83
1778405135,63,10992,63,156.51,33,3.76
1778405136,61,11008,63,156.45,33,3.76
1778405137,65,11008,63,157.39,33,3.76
1778405139,69,11008,63,158.10,33,3.78
1778405140,69,11008,62,158.79,33,3.78
1778405142,69,11008,62,159.00,33,3.78
1778405143,63,11008,63,157.38,33,3.78
