ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778406284,3,11150,54,49.16,34,2.54
1778406285,9,1179,52,25.69,34,2.54
1778406287,87,11426,53,37.36,34,2.49
1778406288,100,11428,64,81.07,34,2.49
1778406290,96,11434,64,210.91,33,2.49
1778406291,96,11434,64,211.44,33,2.45
1778406293,97,11434,65,211.80,33,2.45
1778406294,97,11434,65,211.74,33,2.45
1778406295,96,11434,66,212.75,34,2.45
1778406297,96,11434,66,213.31,35,2.34
1778406298,96,11434,66,213.04,36,2.34
1778406299,96,11434,66,213.33,38,2.34
1778406301,97,11434,66,213.85,38,2.79
1778406302,97,11434,66,213.90,39,2.79
1778406304,97,11434,67,214.43,40,2.79
1778406305,96,11434,66,214.59,41,2.79
1778406306,96,11434,67,215.20,41,2.65
1778406308,97,11434,67,215.06,42,2.65
1778406309,96,11434,67,215.16,42,2.65
1778406311,97,11434,67,215.19,42,2.59
1778406312,97,11434,67,215.28,43,2.59
1778406313,97,11434,67,215.78,43,2.59
1778406315,95,11434,67,215.54,43,2.59
1778406316,96,11434,67,215.44,44,2.55
1778406318,96,11434,67,215.34,44,2.55
1778406319,96,11434,67,215.59,44,2.55
1778406320,97,11434,67,215.31,44,2.55
1778406322,96,11434,67,215.48,44,2.42
1778406323,96,11434,68,215.60,45,2.42
1778406325,96,11434,67,215.90,45,2.42
