ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778406366,29,11434,52,19.38,46,2.30
1778406367,29,1179,51,17.33,44,2.30
1778406369,97,11426,51,33.28,41,2.30
1778406370,100,11428,61,72.02,38,2.30
1778406372,96,11434,63,211.24,36,2.20
1778406373,97,11434,64,210.46,34,2.20
1778406375,97,11434,64,211.62,33,2.20
1778406376,97,11434,65,211.51,32,2.18
1778406377,96,11434,65,211.67,33,2.18
1778406379,97,11434,65,212.55,34,2.18
1778406380,97,11434,65,212.77,35,2.18
1778406382,96,11434,66,212.47,36,2.25
1778406383,96,11434,66,213.58,37,2.25
1778406384,97,11434,66,213.88,38,2.25
1778406386,96,11434,67,214.10,39,2.25
1778406387,96,11434,67,214.39,40,2.23
1778406389,97,11434,67,214.61,40,2.23
1778406390,97,11434,67,215.20,41,2.23
1778406391,96,11434,67,215.47,41,2.13
1778406393,95,11434,67,214.96,42,2.13
1778406394,96,11434,67,215.51,42,2.13
1778406396,96,11434,67,215.79,43,2.13
1778406397,97,11434,67,215.91,43,2.44
1778406399,97,11434,67,215.63,43,2.44
1778406400,97,11434,67,215.45,44,2.44
1778406402,96,11434,67,215.63,44,2.40
1778406403,96,11434,68,215.61,44,2.40
1778406404,97,11434,67,215.77,44,2.40
1778406406,3,11434,56,100.88,45,2.40
