ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778406409,13,11434,52,24.73,44,3.73
1778406411,22,1179,51,24.23,43,3.73
1778406412,75,11426,52,38.04,40,3.75
1778406414,98,11428,64,90.80,38,3.75
1778406415,97,11434,63,209.28,36,3.75
1778406417,97,11434,64,210.63,34,3.93
1778406418,97,11434,64,211.53,33,3.93
1778406419,97,11434,65,211.73,32,3.93
1778406421,96,11434,65,212.18,33,3.93
1778406422,96,11434,65,212.06,34,3.78
1778406424,97,11434,66,211.46,35,3.78
1778406425,96,11434,65,210.74,36,3.78
1778406426,96,11434,66,211.08,37,3.80
1778406428,96,11434,66,211.44,38,3.80
1778406429,97,11434,66,211.96,39,3.80
1778406431,97,11434,66,211.48,39,3.80
1778406432,97,11434,67,212.15,40,5.49
1778406433,97,11434,67,212.15,40,5.49
1778406435,96,11434,67,212.85,41,5.49
1778406436,97,11434,67,212.39,41,5.13
1778406438,97,11434,67,213.55,42,5.13
1778406439,96,11434,67,212.91,42,5.13
1778406441,96,11434,67,213.28,42,5.13
1778406442,95,11434,67,212.90,43,4.80
1778406443,97,11434,67,212.57,43,4.80
1778406445,97,11434,67,213.18,43,4.80
1778406446,97,11434,67,213.29,43,4.58
1778406448,96,11434,67,213.60,44,4.58
1778406449,97,11434,67,213.55,44,4.58
1778406450,97,11434,67,213.71,44,4.58
1778406452,97,11434,67,213.66,44,4.29
1778406453,96,11434,67,213.40,44,4.29
1778406455,96,11434,67,213.74,45,4.29
1778406456,97,11434,67,214.60,45,4.29
1778406457,96,11434,67,214.35,45,4.03
1778406459,97,11434,67,214.27,45,4.03
1778406460,96,11434,68,213.87,45,4.03
1778406462,96,11434,68,214.14,45,3.86
1778406463,97,11434,68,214.11,45,3.86
1778406464,97,11434,68,214.40,45,3.86
1778406466,97,11434,67,214.46,45,3.86
1778406467,96,11434,67,214.73,46,3.64
1778406469,96,11434,68,214.55,46,3.64
1778406470,97,11434,67,214.53,46,3.64
1778406471,97,11434,68,214.52,46,3.58
