ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778406475,12,11434,53,25.80,45,3.58
1778406476,13,1179,52,24.76,45,3.58
1778406478,5,11581,52,31.97,43,3.46
1778406479,41,11583,53,55.94,41,3.46
1778406480,96,11589,64,207.62,39,3.46
1778406482,97,11589,64,211.17,37,3.66
1778406483,97,11589,65,211.55,36,3.66
1778406485,97,11589,65,212.66,35,3.66
1778406486,97,11589,65,212.44,35,3.66
1778406487,96,11589,65,212.99,36,3.45
1778406489,97,11589,66,213.49,36,3.45
1778406490,97,11589,65,211.47,37,3.45
1778406492,96,11589,67,211.25,38,3.33
1778406493,96,11589,66,211.96,39,3.33
1778406494,97,11589,67,212.62,40,3.33
1778406496,97,11589,67,212.77,40,3.33
1778406497,96,11589,67,212.96,41,3.14
1778406499,97,11589,67,213.60,41,3.14
1778406500,97,11589,67,213.64,42,3.14
1778406501,97,11589,67,213.64,42,3.61
1778406503,96,11589,67,214.07,42,3.61
1778406504,97,11589,67,213.60,43,3.61
1778406506,96,11589,67,213.92,43,3.61
1778406507,97,11589,67,213.85,43,3.48
1778406508,97,11589,67,214.21,44,3.48
1778406510,97,11589,68,213.81,44,3.48
1778406511,96,11589,67,214.67,44,3.48
1778406513,96,11589,68,214.54,44,3.28
1778406514,97,11589,67,214.30,44,3.28
1778406515,97,11589,67,214.04,45,3.28
1778406517,97,11589,67,214.79,45,3.10
1778406518,96,11589,67,214.71,45,3.10
1778406520,97,11589,67,214.43,45,3.10
1778406521,96,11589,67,214.59,45,3.10
1778406522,97,11589,68,214.64,45,2.93
1778406524,97,11589,67,214.50,45,2.93
1778406525,96,11589,67,214.77,45,2.93
1778406527,97,11589,67,214.90,46,3.02
1778406528,97,11589,68,214.60,46,3.02
1778406529,97,11589,67,214.91,46,3.02
1778406531,96,11589,68,214.13,46,3.02
1778406532,97,11589,68,214.81,46,2.86
1778406534,97,11589,68,214.08,46,2.86
1778406535,97,11589,68,214.50,46,2.86
1778406536,97,11589,68,216.69,46,2.86
1778406538,96,11589,68,216.69,46,2.79
1778406539,97,11589,67,216.54,46,2.79
1778406541,97,11589,68,217.14,46,2.79
1778406542,97,11589,68,216.82,46,2.72
1778406543,97,11589,68,217.03,46,2.72
1778406545,96,11589,68,216.78,46,2.72
1778406546,97,11589,67,216.71,47,2.72
1778406548,97,11589,68,217.27,47,2.59
1778406549,97,11589,68,216.81,47,2.59
1778406550,97,11589,68,217.16,47,2.59
1778406552,97,11589,68,216.96,47,2.62
1778406553,97,11589,68,217.43,47,2.62
1778406555,97,11589,68,217.26,47,2.62
1778406556,97,11589,68,217.22,47,2.62
1778406557,97,11589,68,217.12,47,2.65
1778406559,96,11589,68,217.21,47,2.65
1778406560,97,11589,68,216.98,47,2.65
1778406562,96,11589,68,216.95,47,2.65
1778406563,96,11589,68,216.88,47,2.76
1778406564,97,11589,67,216.83,47,2.76
1778406566,97,11589,68,216.76,47,2.76
1778406567,97,11589,68,217.20,47,2.62
1778406569,97,11589,68,216.86,47,2.62
1778406570,96,11589,68,217.03,47,2.62
1778406571,97,11589,67,217.43,47,2.62
1778406573,97,11589,68,217.40,47,2.57
1778406574,97,11589,68,217.28,47,2.57
1778406576,97,11589,68,217.48,47,2.57
1778406577,97,11589,68,217.59,47,2.60
1778406579,97,11589,68,217.83,48,2.60
1778406580,97,11589,68,217.35,48,2.60
1778406581,96,11589,68,216.96,47,2.60
1778406583,97,11589,68,217.14,48,2.47
1778406584,97,11589,68,217.11,48,2.47
1778406586,97,11589,67,217.17,48,2.47
1778406587,97,11589,68,217.32,48,2.43
1778406588,97,11589,68,217.49,48,2.43
1778406590,97,11589,68,217.40,48,2.43
1778406591,97,11589,68,217.49,48,2.43
1778406593,97,11589,67,217.03,48,2.32
1778406594,97,11589,68,217.57,48,2.32
1778406596,97,11589,68,216.80,48,2.32
1778406597,97,11589,68,216.94,48,2.21
1778406598,96,11589,68,216.96,48,2.21
1778406600,96,11589,68,216.79,48,2.21
1778406601,97,11589,68,217.02,48,2.21
1778406603,97,11589,68,217.61,48,2.12
1778406604,97,11589,68,217.52,48,2.12
1778406605,97,11589,67,217.15,48,2.12
1778406607,96,11589,68,217.16,48,2.12
1778406608,97,11589,68,216.95,48,2.03
1778406610,97,11589,68,216.92,48,2.03
1778406611,97,11589,68,217.44,48,2.03
1778406612,96,11589,67,216.93,48,2.02
1778406614,97,11589,68,216.99,48,2.02
1778406615,97,11589,67,217.10,48,2.02
1778406617,97,11589,68,217.49,48,2.02
1778406618,97,11589,68,217.31,48,1.94
1778406619,97,11589,68,217.09,48,1.94
1778406621,97,11589,68,216.85,48,1.94
1778406622,97,11589,68,217.77,48,1.95
1778406624,97,11589,67,217.38,48,1.95
1778406625,96,11589,67,217.45,48,1.95
1778406626,97,11589,68,216.87,48,1.95
1778406628,97,11589,67,217.55,48,1.95
1778406629,97,11589,68,217.41,48,1.95
1778406631,97,11589,68,217.25,48,1.95
1778406632,97,11589,68,217.78,48,1.87
1778406633,97,11589,67,217.32,48,1.87
1778406635,97,11589,68,218.31,48,1.87
1778406636,97,11589,67,217.91,48,1.87
1778406638,97,11589,68,218.32,48,1.88
1778406639,95,11589,67,217.95,48,1.88
1778406641,97,11589,67,217.66,48,1.88
1778406642,98,11589,68,218.24,48,1.88
1778406643,97,11589,68,217.86,48,1.81
1778406645,97,11589,67,218.38,48,1.81
1778406646,97,11589,68,217.93,48,1.81
1778406648,97,11589,67,218.19,48,1.83
1778406649,97,11589,68,218.21,48,1.83
1778406650,97,11589,68,217.77,48,1.83
1778406652,95,11589,67,217.65,48,1.83
1778406653,97,11589,67,217.67,48,1.84
1778406655,97,11589,68,218.29,48,1.84
1778406656,97,11589,68,218.15,48,1.84
1778406657,97,11589,68,218.06,48,1.85
1778406659,97,11589,68,217.67,48,1.85
1778406660,97,11589,68,218.41,49,1.85
1778406662,97,11589,67,218.32,49,1.85
1778406663,97,11589,68,218.22,49,1.79
1778406664,97,11589,68,217.82,49,1.79
1778406666,97,11589,68,218.22,49,1.79
1778406667,97,11589,68,218.32,49,1.80
1778406669,97,11589,68,218.32,49,1.80
1778406670,97,11589,68,218.45,49,1.80
1778406671,97,11589,68,218.43,49,1.80
1778406673,96,11589,68,218.33,49,1.90
1778406674,97,11589,68,218.04,49,1.90
1778406676,97,11589,68,218.82,49,1.90
1778406677,97,11589,68,218.23,49,1.90
1778406678,97,11589,68,218.15,49,1.91
1778406680,97,11589,68,218.73,49,1.91
1778406681,97,11589,68,218.65,49,1.91
1778406683,96,11589,68,218.39,49,1.83
1778406684,97,11589,68,216.45,49,1.83
1778406685,97,11589,67,211.99,49,1.83
1778406687,96,11589,67,211.85,49,1.83
1778406688,97,11589,67,211.96,49,1.77
1778406690,97,11589,67,211.90,49,1.77
1778406691,97,11589,67,211.67,49,1.77
