ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407078,97,11574,66,156.20,48,1.71
1778407079,96,11574,66,205.27,48,1.71
1778407080,96,11574,66,204.95,48,1.73
1778407082,97,11574,66,205.02,48,1.73
1778407083,97,11574,66,205.05,48,1.73
1778407085,96,11574,67,206.09,48,1.76
1778407086,96,11574,66,205.94,48,1.76
1778407087,96,11574,66,205.42,48,1.76
1778407089,96,11574,66,205.47,48,1.76
1778407090,97,11574,66,205.75,48,1.78
1778407092,96,11574,66,206.16,48,1.78
1778407093,97,11574,66,206.13,48,1.78
1778407095,97,11574,66,205.93,48,1.79
1778407096,97,11574,66,205.99,48,1.79
1778407097,97,11574,66,206.57,48,1.79
1778407099,96,11574,66,206.56,48,1.79
1778407100,97,11574,66,206.51,48,1.81
1778407102,96,11574,66,206.11,48,1.81
1778407103,97,11574,66,206.14,48,1.81
1778407105,96,11574,66,206.35,48,1.74
1778407106,97,11574,66,206.43,48,1.74
1778407107,97,11574,66,206.07,48,1.74
1778407109,97,11574,66,207.12,48,1.74
1778407110,97,11574,66,207.42,48,1.76
1778407112,97,11574,66,207.40,48,1.76
1778407113,97,11574,66,206.54,48,1.76
1778407114,97,11574,66,207.48,48,1.70
1778407116,97,11574,66,207.07,48,1.70
1778407117,97,11574,66,206.80,48,1.70
1778407119,97,11574,66,207.26,48,1.70
1778407120,97,11574,66,207.30,48,1.65
1778407122,97,11574,66,207.34,48,1.65
1778407123,96,11574,66,207.20,48,1.65
1778407124,97,11574,66,207.51,48,1.65
1778407126,96,11574,66,207.33,48,1.75
1778407127,97,11574,66,207.09,48,1.75
1778407129,97,11574,66,207.33,48,1.75
1778407130,97,11574,66,208.24,48,1.69
1778407131,97,11574,66,209.37,48,1.69
1778407133,97,11574,66,209.07,48,1.69
1778407134,97,11574,66,208.32,48,1.69
1778407136,97,11574,66,209.04,48,1.72
1778407137,97,11574,66,209.28,48,1.72
1778407139,97,11574,66,208.88,48,1.72
1778407140,97,11574,66,209.34,48,1.82
1778407141,96,11574,66,209.16,48,1.82
1778407143,96,11574,66,208.83,48,1.82
1778407144,97,11574,66,209.34,48,1.82
1778407146,97,11574,67,208.99,48,1.83
1778407147,97,11574,66,209.53,48,1.83
1778407148,97,11574,66,209.36,48,1.83
1778407150,97,11574,66,209.40,48,1.77
1778407151,97,11574,66,209.18,48,1.77
1778407153,96,11574,66,209.67,48,1.77
1778407154,97,11574,66,209.35,48,1.77
1778407155,96,11574,66,209.10,48,1.71
1778407157,97,11574,66,209.54,48,1.71
1778407158,97,11574,66,209.70,48,1.71
1778407160,97,11574,67,209.01,48,1.71
1778407161,97,11574,67,209.58,48,1.73
1778407162,97,11574,66,209.37,48,1.73
1778407164,97,11574,66,209.34,48,1.73
1778407165,96,11574,66,209.75,48,1.75
1778407167,96,11574,66,209.57,48,1.75
1778407168,97,11574,67,210.06,48,1.75
1778407169,97,11574,66,209.20,48,1.75
1778407171,97,11574,67,209.72,48,1.77
1778407172,97,11574,66,209.86,48,1.77
1778407174,97,11574,66,209.88,48,1.77
1778407175,97,11574,66,209.73,48,1.79
1778407177,97,11574,66,209.83,48,1.79
1778407178,97,11574,66,209.74,48,1.79
1778407179,97,11574,67,210.16,48,1.79
1778407181,97,11574,67,210.05,48,1.73
1778407182,97,11574,66,209.72,48,1.73
1778407184,97,11574,66,209.68,48,1.73
1778407185,97,11574,66,209.73,48,1.75
1778407186,97,11574,67,209.69,48,1.75
1778407188,97,11574,67,210.07,48,1.75
1778407189,96,11574,67,210.02,48,1.75
1778407191,98,11574,66,210.00,48,1.69
1778407192,97,11574,67,209.44,48,1.69
1778407194,97,11574,66,210.22,48,1.69
1778407195,97,11574,67,209.67,48,1.71
1778407196,96,11574,66,209.53,48,1.71
1778407198,97,11574,67,209.90,48,1.71
1778407199,98,11574,67,210.12,48,1.71
1778407201,97,11574,66,209.96,48,1.74
1778407202,98,11574,67,209.80,48,1.74
1778407203,97,11574,66,209.94,48,1.74
1778407205,97,11574,66,209.82,48,1.74
1778407206,97,11574,67,209.82,48,1.76
1778407208,97,11574,66,209.84,48,1.76
1778407209,97,11574,67,209.78,48,1.76
1778407210,97,11574,67,209.91,48,1.78
1778407212,97,11574,67,209.98,48,1.78
1778407213,96,11574,66,209.83,48,1.78
1778407215,97,11574,67,209.76,48,1.78
1778407216,97,11574,67,210.34,48,1.79
1778407218,97,11574,67,209.83,48,1.79
1778407219,97,11574,67,209.70,48,1.79
1778407220,97,11574,67,210.37,48,1.73
1778407222,97,11574,66,210.30,48,1.73
1778407223,97,11574,66,210.26,48,1.73
1778407225,97,11574,67,210.21,48,1.73
1778407226,97,11574,66,210.05,48,1.67
1778407227,98,11574,66,210.49,48,1.67
1778407229,97,11574,67,210.95,48,1.67
1778407230,97,11574,67,210.48,48,1.62
1778407232,97,11574,66,210.63,48,1.62
1778407233,97,11574,67,210.92,48,1.62
1778407234,97,11574,66,210.87,48,1.62
1778407236,97,11574,67,210.53,48,1.73
1778407237,98,11574,67,210.47,48,1.73
1778407239,97,11574,67,210.93,48,1.73
1778407240,97,11574,67,211.05,48,1.67
1778407242,97,11574,67,210.73,48,1.67
1778407243,97,11574,67,210.62,48,1.67
1778407244,97,11574,67,210.77,48,1.67
1778407246,96,11574,67,210.96,48,1.69
1778407247,97,11574,67,210.93,48,1.69
1778407249,97,11574,67,210.67,48,1.69
1778407250,97,11574,67,210.72,48,1.69
1778407251,97,11574,66,210.78,48,1.80
1778407253,97,11574,67,211.13,48,1.80
1778407254,97,11574,67,210.77,48,1.80
1778407256,96,11574,67,210.86,48,1.73
1778407257,96,11574,67,210.96,48,1.73
1778407259,97,11574,67,211.24,48,1.73
1778407260,97,11574,67,211.36,48,1.73
1778407261,97,11574,67,211.33,48,1.68
1778407263,98,11574,67,211.37,48,1.68
1778407264,96,11574,67,211.16,48,1.68
1778407266,97,11574,67,211.66,48,1.62
1778407267,7,1340,56,114.74,48,1.62
1778407268,25,11406,55,55.30,48,1.62
1778407270,24,11408,53,46.27,48,1.62
1778407271,96,11414,64,147.02,47,1.57
1778407273,97,11414,65,211.58,45,1.57
1778407274,97,11414,65,212.59,44,1.57
1778407276,96,11414,65,210.38,43,1.77
1778407277,96,11414,66,210.75,42,1.77
1778407278,96,11414,66,211.07,42,1.77
1778407280,95,11414,65,211.29,42,1.77
1778407281,96,11414,66,211.46,42,1.78
1778407283,97,11414,66,211.82,42,1.78
1778407284,97,11414,66,212.03,42,1.78
1778407285,96,11414,66,211.87,42,1.72
1778407287,97,11414,66,211.79,42,1.72
1778407288,96,11414,66,212.42,42,1.72
1778407290,96,11414,67,212.76,42,1.72
1778407291,97,11414,67,212.91,42,1.82
1778407293,97,11414,67,213.00,42,1.82
1778407294,96,11414,67,213.13,42,1.82
1778407295,97,11414,67,212.60,42,1.92
1778407297,97,11414,67,213.56,43,1.92
1778407298,96,11414,68,213.93,43,1.92
1778407300,97,11414,67,213.39,43,1.92
1778407301,96,11414,67,213.48,44,1.92
1778407302,97,11414,68,213.71,44,1.92
1778407304,97,11414,68,214.16,44,1.92
1778407305,97,11414,67,213.73,44,1.92
1778407307,96,11414,68,214.32,45,1.85
1778407308,97,11414,68,214.18,45,1.85
1778407309,96,11414,68,214.42,45,1.85
1778407311,97,11414,68,214.79,45,1.86
1778407312,94,11414,68,214.34,45,1.86
1778407314,96,11414,68,214.76,46,1.86
1778407315,97,11414,68,214.93,46,1.86
1778407317,3,11414,58,181.33,46,1.87
