ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407321,14,11414,52,25.10,46,1.88
1778407322,20,1159,51,24.54,44,1.88
1778407323,95,11406,52,35.40,42,1.88
1778407325,100,11408,63,77.99,39,1.88
1778407326,96,11414,63,208.65,37,1.97
1778407328,97,11414,64,211.40,35,1.97
1778407329,97,11414,65,211.83,34,1.97
1778407330,96,11414,65,212.31,34,1.97
1778407332,95,11414,65,211.80,34,1.89
1778407333,97,11414,65,212.56,35,1.89
1778407335,97,11414,66,213.00,36,1.89
1778407336,96,11414,66,212.94,37,1.90
1778407337,97,11414,67,213.61,38,1.90
1778407339,97,11414,67,214.04,39,1.90
1778407340,96,11414,67,212.93,40,1.90
1778407342,97,11414,67,212.61,41,1.91
1778407343,97,11414,67,212.62,41,1.91
1778407345,97,11414,67,212.87,42,1.91
1778407346,96,11414,67,212.65,42,1.84
1778407347,97,11414,67,212.96,43,1.84
1778407349,96,11414,67,213.28,43,1.84
1778407350,96,11414,67,214.01,43,1.84
1778407352,96,11414,67,214.00,44,1.77
1778407353,97,11414,67,214.21,44,1.77
1778407355,97,11414,68,214.24,44,1.77
1778407356,96,11414,67,213.86,44,1.79
1778407357,97,11414,67,214.19,45,1.79
1778407359,97,11414,68,214.26,45,1.79
1778407360,95,11414,67,214.29,45,1.79
1778407362,96,11414,68,214.71,45,1.72
1778407363,97,11414,68,214.39,45,1.72
1778407364,96,11414,68,214.36,45,1.72
1778407366,97,11414,67,214.60,46,2.07
1778407367,96,11414,68,214.57,46,2.07
1778407369,97,11414,68,214.56,46,2.07
1778407370,97,11414,67,215.05,46,2.07
1778407372,97,11414,68,215.24,46,2.06
1778407373,96,11414,68,214.53,46,2.06
1778407374,97,11414,68,215.26,46,2.06
1778407376,97,11414,68,215.30,46,2.06
1778407377,97,11414,68,215.29,46,2.06
1778407379,97,11414,68,215.19,46,2.06
1778407380,97,11414,68,215.49,47,2.06
1778407382,97,11414,68,215.12,47,1.97
1778407383,96,11414,68,215.13,47,1.97
1778407384,97,11414,68,215.15,47,1.97
1778407386,96,11414,68,216.60,47,1.89
1778407387,97,11414,68,216.38,47,1.89
1778407389,96,11414,68,217.25,47,1.89
1778407390,97,11414,68,216.72,47,1.89
1778407392,97,11414,68,216.51,47,1.90
1778407393,97,11414,68,216.75,47,1.90
1778407394,97,11414,68,216.89,47,1.90
1778407396,97,11414,68,217.04,47,1.90
1778407397,97,11414,68,216.87,47,1.91
1778407399,97,11414,68,217.30,47,1.91
1778407400,97,11414,68,217.46,48,1.91
1778407401,96,11414,69,217.25,47,2.00
1778407403,96,11414,68,217.02,48,2.00
1778407404,96,11414,68,217.35,48,2.00
1778407406,97,11414,68,217.18,48,2.00
1778407407,97,11414,68,217.42,48,1.92
1778407408,97,11414,68,217.01,48,1.92
1778407410,97,11414,68,216.91,48,1.92
1778407411,97,11414,68,217.19,48,2.08
1778407413,96,11414,68,217.17,48,2.08
1778407414,97,11414,68,217.32,48,2.08
1778407416,96,11414,68,216.60,48,2.08
1778407417,97,11414,68,217.19,48,2.08
1778407418,96,11414,63,217.68,48,2.08
