ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407422,10,11414,53,30.00,48,2.07
1778407423,22,1159,52,18.68,47,2.07
1778407424,4,11566,52,33.30,45,2.07
1778407426,7,11568,52,62.57,42,2.07
1778407427,96,11574,64,210.90,40,2.06
1778407429,97,11574,64,211.73,37,2.06
1778407430,95,11574,65,211.35,36,2.06
1778407432,96,11574,65,212.03,36,2.06
1778407433,96,11574,66,212.45,36,2.06
1778407434,96,11574,66,213.25,36,2.06
1778407436,97,11574,66,213.52,37,2.06
1778407437,96,11574,66,213.80,38,2.05
1778407439,97,11574,67,214.30,39,2.05
1778407440,97,11574,66,214.69,40,2.05
1778407441,97,11574,67,214.13,40,2.05
1778407443,97,11574,67,214.83,41,2.05
1778407444,97,11574,67,215.15,42,2.05
1778407446,97,11574,68,215.29,42,2.05
1778407447,97,11574,68,215.16,43,2.04
1778407448,96,11574,67,215.73,43,2.04
1778407450,96,11574,68,215.75,44,2.04
1778407451,97,11574,68,215.70,44,2.04
1778407453,97,11574,68,215.92,44,2.04
1778407454,96,11574,68,215.44,45,2.04
1778407455,96,11574,68,215.72,45,2.04
1778407457,96,11574,68,215.70,45,2.04
1778407458,97,11574,68,216.37,45,2.04
1778407460,96,11574,68,216.42,46,2.04
1778407461,97,11574,68,216.75,46,2.04
1778407462,97,11574,68,216.74,46,2.67
1778407464,96,11574,68,216.87,46,2.67
1778407465,97,11574,68,216.47,46,2.67
1778407467,97,11574,68,216.70,46,2.54
1778407468,97,11574,68,216.81,46,2.54
1778407470,96,11574,68,216.57,47,2.54
1778407471,97,11574,68,216.88,47,2.54
1778407472,96,11574,68,216.74,47,2.42
1778407474,97,11574,68,216.88,47,2.42
1778407476,97,11574,68,216.87,47,2.42
1778407477,97,11574,68,216.72,47,2.30
1778407478,3,11574,58,145.86,47,2.30
