ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407482,12,11574,53,25.73,47,2.28
1778407483,28,11574,52,21.60,46,2.28
1778407485,4,1370,52,33.90,44,2.28
1778407486,4,11182,52,46.17,41,2.28
1778407487,4,11182,51,41.78,38,2.18
1778407489,23,11184,50,35.68,36,2.18
1778407490,23,11184,50,35.77,34,2.18
1778407492,41,11184,51,46.23,32,2.16
1778407493,17,11192,51,71.22,31,2.16
1778407495,25,11192,50,53.46,30,2.16
1778407496,27,11192,49,34.13,30,2.15
1778407498,29,11192,49,33.50,30,2.15
1778407499,31,11192,49,32.81,30,2.15
1778407501,32,11192,48,32.21,30,2.15
1778407502,37,11192,48,32.16,30,2.14
1778407504,37,11192,47,32.20,30,2.14
1778407505,39,11192,47,32.15,30,2.14
1778407506,33,11192,47,32.04,30,2.12
1778407508,42,11192,47,31.68,30,2.12
1778407509,34,11192,47,31.88,30,2.12
1778407511,43,11192,46,31.82,30,2.12
1778407512,32,11192,46,31.48,30,2.11
1778407514,32,11192,46,31.34,30,2.11
1778407515,35,11192,45,31.32,30,2.11
1778407517,42,11192,45,31.61,30,2.03
1778407518,34,11192,45,31.35,30,2.03
1778407520,33,11192,45,31.38,30,2.03
1778407521,35,11192,45,31.16,30,2.03
1778407523,41,11192,45,31.13,30,2.02
1778407524,41,11192,44,31.06,30,2.02
1778407526,36,11192,45,31.22,30,2.02
1778407527,46,11192,44,31.41,30,2.02
1778407528,35,11192,44,31.08,30,2.02
1778407530,33,11192,43,31.09,30,2.02
1778407531,44,11192,43,31.19,30,2.02
1778407533,43,11192,43,30.86,30,2.02
