ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407537,31,11192,42,20.93,30,2.02
1778407538,31,1179,42,15.90,30,2.02
1778407539,8,1390,42,27.33,39,2.02
1778407541,4,11558,43,45.79,0,2.02
1778407542,24,11560,43,39.18,0,1.94
1778407544,25,11560,43,34.95,0,1.94
1778407545,32,11560,43,34.90,0,1.94
1778407547,39,11560,45,51.03,0,1.86
1778407548,14,11568,46,69.45,0,1.86
1778407550,28,11568,44,44.62,0,1.86
1778407551,28,11568,44,33.31,0,1.86
1778407553,31,11568,44,32.74,0,1.87
1778407554,33,11568,44,32.22,0,1.87
1778407555,36,11568,44,32.06,0,1.87
1778407557,34,11568,44,32.05,0,1.80
1778407558,30,11568,44,31.90,0,1.80
1778407560,40,11568,44,31.51,0,1.80
1778407561,39,11568,44,31.49,0,1.80
1778407563,36,11568,44,31.45,0,1.90
1778407564,34,11568,44,31.60,0,1.90
1778407566,33,11568,44,31.39,0,1.90
1778407567,40,11568,45,31.57,0,1.90
1778407569,40,11568,45,31.46,0,1.90
1778407570,45,11568,45,31.47,0,1.90
1778407572,36,11568,45,31.41,0,1.99
1778407573,42,11568,45,31.64,0,1.99
1778407575,35,11568,45,31.53,0,1.99
1778407576,43,11568,45,31.36,0,1.99
1778407578,36,11568,46,31.21,0,1.99
1778407579,33,11568,45,31.32,0,1.99
1778407581,9,11568,45,26.83,0,1.99
