ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407584,34,11568,45,18.21,0,2.07
1778407586,31,1179,45,15.65,0,2.07
1778407587,4,1390,46,23.16,0,2.07
1778407588,2,11558,47,46.30,0,2.07
1778407590,24,11560,46,37.96,0,2.07
1778407592,22,11560,46,35.32,0,2.06
1778407593,38,11560,47,39.82,0,2.06
1778407595,57,11568,48,55.82,0,2.06
1778407596,14,11568,49,62.89,0,2.06
1778407598,28,11568,47,39.95,0,1.98
1778407599,28,11568,47,33.64,0,1.98
1778407601,32,11568,47,33.29,0,1.98
1778407602,23,11568,47,32.90,0,1.98
