ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407605,20,11568,46,22.33,0,1.98
1778407607,26,1179,46,17.78,0,1.90
1778407608,11,1390,47,20.45,0,1.90
1778407610,3,11558,48,46.90,0,1.90
1778407611,25,11560,47,41.03,0,1.90
1778407613,24,11560,47,35.90,0,1.83
1778407614,38,11560,48,40.77,0,1.83
1778407616,15,11568,50,71.27,0,1.83
1778407617,15,11568,51,63.63,0,1.76
1778407619,26,11568,48,40.45,0,1.76
1778407620,29,11568,48,34.28,0,1.76
1778407622,32,11568,48,33.63,0,1.76
1778407623,34,11568,48,33.19,0,1.86
1778407625,37,11568,48,33.35,0,1.86
1778407626,34,11568,49,32.70,0,1.86
1778407628,31,11568,48,32.36,0,1.79
1778407629,31,11568,49,32.37,0,1.79
1778407630,43,11568,48,32.36,0,1.79
1778407632,44,11568,48,32.18,0,1.79
