ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407635,21,11568,48,22.50,0,1.73
1778407637,36,1179,48,17.90,0,1.73
1778407638,7,1390,48,27.98,0,1.67
1778407640,3,11558,49,47.49,0,1.67
1778407641,24,11560,49,43.96,0,1.67
1778407643,23,11560,49,36.08,0,1.94
1778407644,39,11560,49,40.65,0,1.94
1778407646,18,11568,51,77.81,0,1.94
1778407647,14,11568,52,63.75,0,1.94
1778407649,24,11568,50,34.67,0,1.94
1778407650,31,11568,49,33.91,0,1.94
1778407652,24,11568,49,33.47,0,1.94
1778407653,28,11568,49,33.18,0,1.86
1778407655,35,11568,49,32.83,0,1.86
1778407656,36,11568,49,32.77,0,1.86
1778407658,40,11568,50,33.26,0,1.88
1778407659,33,11568,49,32.60,0,1.88
1778407661,33,11568,50,32.34,0,1.88
1778407662,45,11568,50,32.71,0,1.88
1778407663,34,11568,49,32.39,0,1.80
1778407665,35,11568,49,32.39,0,1.80
1778407666,35,11568,50,32.49,0,1.80
1778407668,42,11568,50,32.67,0,1.74
1778407669,32,11568,50,32.45,0,1.74
1778407671,34,11568,50,32.30,0,1.74
1778407672,32,11568,50,32.69,0,1.68
1778407674,40,11568,50,32.33,0,1.68
1778407675,40,11568,50,32.37,0,1.68
1778407677,35,11568,50,32.38,0,1.68
1778407678,40,11568,50,32.45,0,1.63
1778407680,33,11568,50,32.41,0,1.63
1778407681,34,11568,50,32.29,0,1.63
1778407683,35,11568,50,32.10,0,1.74
1778407684,46,11568,50,32.34,0,1.74
1778407686,44,11568,50,32.60,0,1.74
1778407687,35,11568,50,32.60,0,1.74
1778407688,44,11568,50,32.49,0,1.84
1778407690,33,11568,51,32.77,0,1.84
1778407691,34,11568,50,32.35,0,1.84
1778407693,34,11568,51,32.29,0,1.77
1778407694,34,11568,50,32.19,0,1.77
