ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407698,21,11568,50,22.81,0,1.87
1778407699,38,1179,49,18.20,0,1.87
1778407701,8,1390,50,28.41,0,1.87
1778407702,4,11558,51,48.27,0,1.88
1778407704,25,11560,51,41.24,0,1.88
1778407705,23,11560,51,36.12,0,1.88
1778407707,36,11560,51,41.72,0,1.88
1778407708,14,11568,54,69.89,0,1.89
1778407710,23,11568,53,62.26,0,1.89
1778407711,26,11568,52,34.88,0,1.89
1778407713,28,11568,52,34.89,0,1.90
1778407714,32,11568,52,34.09,0,1.90
1778407716,32,11568,51,33.83,0,1.90
1778407717,36,11568,51,33.48,0,1.90
1778407719,39,11568,52,33.29,0,1.82
1778407720,40,11568,51,33.17,0,1.82
1778407722,39,11568,51,33.27,0,1.82
