ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407726,20,11568,50,23.38,0,1.84
1778407727,33,1179,50,18.56,0,1.84
1778407729,6,1390,51,26.63,0,1.85
1778407730,4,11558,52,47.51,0,1.85
1778407732,24,11560,52,46.45,0,1.85
1778407733,23,11560,52,36.68,0,1.78
1778407735,38,11560,52,43.45,0,1.78
1778407736,19,11568,54,71.50,0,1.78
1778407738,24,11568,53,59.99,0,1.80
1778407739,27,11568,52,35.84,0,1.80
1778407740,29,11568,52,34.70,0,1.80
1778407742,32,11568,52,34.56,0,1.80
1778407743,34,11568,52,34.12,0,1.73
1778407745,34,11568,52,33.57,0,1.73
1778407746,30,11568,52,33.56,0,1.73
1778407748,33,11568,52,33.17,0,1.68
