ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407752,23,11568,51,23.12,0,1.68
1778407753,33,1179,51,20.00,0,1.70
1778407755,4,1390,52,26.50,0,1.70
1778407756,4,11558,53,47.43,0,1.70
1778407758,24,11560,52,46.32,0,1.65
1778407759,24,11560,52,36.50,0,1.65
1778407761,37,11559,53,40.52,0,1.65
1778407762,15,11567,55,80.05,0,1.65
1778407764,14,11567,54,65.24,0,1.67
1778407765,27,11567,53,35.52,0,1.67
1778407767,29,11567,53,35.04,0,1.67
1778407768,29,11567,53,34.53,0,1.70
1778407769,35,11567,53,34.22,0,1.70
1778407771,37,11567,52,33.70,0,1.70
1778407772,30,11567,53,33.26,0,1.70
1778407774,40,11567,53,33.38,0,1.80
1778407775,32,11567,53,33.42,0,1.80
1778407777,43,11567,53,33.46,0,1.80
1778407778,43,11567,52,33.55,0,1.74
1778407780,33,11567,53,33.36,0,1.74
1778407781,33,11567,52,32.97,0,1.74
1778407783,32,11567,53,32.11,0,1.74
1778407784,41,11567,53,33.26,0,1.76
1778407785,45,11567,53,33.45,0,1.76
1778407787,39,11567,53,33.74,0,1.76
1778407788,33,11567,53,33.82,0,1.78
1778407790,38,11567,53,33.72,0,1.78
1778407791,34,11567,53,33.51,0,1.78
1778407793,33,11567,53,33.32,0,1.80
1778407794,43,11567,53,33.30,0,1.80
1778407796,32,11567,53,33.32,0,1.80
1778407797,32,11567,53,33.07,0,1.80
1778407799,40,11567,53,33.18,0,1.81
1778407800,38,11567,53,33.04,0,1.81
1778407801,45,11567,53,33.30,0,1.81
1778407803,34,11567,53,32.98,0,1.83
1778407804,42,11567,53,33.28,0,1.83
1778407806,35,11567,53,33.18,0,1.83
1778407807,35,11567,53,33.03,0,1.83
1778407809,39,11567,53,32.93,0,1.92
1778407810,33,11567,53,33.15,0,1.92
1778407812,41,11567,53,33.01,0,1.92
1778407813,40,11567,53,33.16,0,1.85
1778407815,41,11567,53,33.22,0,1.85
1778407816,35,11567,53,32.97,0,1.85
1778407818,36,11567,53,33.11,0,1.85
1778407819,34,11567,53,32.90,0,1.86
1778407820,38,11567,53,32.93,0,1.86
1778407822,35,11567,53,32.92,0,1.86
1778407823,37,11567,53,33.05,0,1.79
1778407825,39,11567,53,33.09,0,1.79
1778407826,38,11567,53,32.72,0,1.79
1778407828,35,11567,53,32.31,0,1.79
1778407829,36,11567,53,32.48,0,1.89
1778407831,36,11567,53,32.40,0,1.89
1778407832,34,11567,53,32.75,0,1.89
1778407834,34,11567,53,32.68,0,1.82
1778407835,9,11567,53,30.37,0,1.82
