ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407838,30,11567,52,21.50,0,1.99
1778407840,35,11567,52,17.70,0,1.99
1778407841,4,1395,53,25.48,0,1.99
1778407843,11,11061,54,39.26,0,1.99
1778407844,30,11063,55,52.77,0,2.07
1778407845,30,11063,54,36.90,0,2.07
1778407847,4,11063,53,34.63,0,2.07
1778407848,21,11067,56,80.94,0,1.98
1778407850,29,11067,55,59.97,0,1.98
1778407851,32,11067,55,41.99,0,1.98
1778407853,28,11067,55,41.55,0,1.98
1778407854,40,11067,54,41.71,0,1.99
1778407856,30,11067,54,40.98,0,1.99
1778407857,35,11067,55,40.87,0,1.99
1778407859,38,11067,55,40.99,0,1.91
1778407860,34,11067,55,40.65,0,1.91
1778407862,37,11067,54,40.46,0,1.91
1778407863,33,11067,55,40.31,0,1.91
1778407864,45,11067,55,40.40,0,1.91
1778407866,44,11067,55,40.21,0,1.91
1778407867,40,11067,55,39.91,0,1.91
1778407869,34,11067,55,39.88,0,1.92
1778407870,34,11067,54,40.05,0,1.92
1778407872,41,11067,55,40.37,0,1.92
1778407873,37,11067,55,40.29,0,1.85
1778407875,44,11067,55,40.08,0,1.85
1778407876,37,11067,55,39.89,0,1.85
1778407878,34,11067,55,39.88,0,1.85
1778407879,33,11067,55,39.90,0,1.86
1778407881,39,11067,55,40.01,0,1.86
1778407882,45,11067,55,40.62,0,1.86
1778407884,33,11067,55,40.04,0,1.87
1778407885,33,11067,55,40.41,0,1.87
1778407887,40,11067,55,40.56,0,1.87
1778407888,37,11067,55,40.38,0,1.87
1778407889,33,11067,55,40.33,0,1.88
1778407891,44,11067,56,40.49,0,1.88
1778407892,32,11067,55,40.38,0,1.88
1778407894,10,11067,54,29.16,0,2.05
