ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407898,33,11067,54,23.79,0,2.05
1778407899,32,11067,54,18.35,0,2.13
1778407901,38,1359,54,19.22,0,2.13
1778407902,51,11537,56,42.92,0,2.13
1778407904,4,11537,56,54.37,0,2.04
1778407905,21,11541,58,95.40,0,2.04
1778407907,26,11541,57,70.44,0,2.04
1778407908,33,11541,57,49.62,0,2.04
1778407909,30,11541,56,43.99,0,2.11
1778407911,30,11541,56,44.50,0,2.11
1778407912,39,11541,56,44.29,0,2.11
1778407914,42,11541,56,43.99,0,2.10
1778407915,31,11541,56,43.46,0,2.10
1778407917,40,11541,56,43.54,0,2.10
1778407918,36,11541,57,42.90,0,2.10
1778407920,36,11541,56,43.05,0,2.01
1778407921,40,11541,57,43.37,0,2.01
1778407922,36,11541,56,43.42,0,2.01
1778407924,36,11541,57,43.58,0,1.93
1778407925,43,11541,56,43.62,0,1.93
1778407927,33,11541,57,43.20,0,1.93
1778407928,43,11541,57,43.24,0,1.93
1778407930,44,11541,56,42.99,0,1.94
1778407931,40,11541,56,43.21,0,1.94
1778407933,31,11541,57,43.43,0,1.94
1778407934,44,11541,57,43.10,0,2.18
1778407935,37,11541,56,43.65,0,2.18
1778407937,35,11541,56,42.53,0,2.18
1778407938,35,11541,57,42.82,0,2.18
1778407940,37,11541,56,43.11,0,2.33
1778407941,38,11541,56,43.13,0,2.33
1778407943,44,11541,57,43.49,0,2.33
1778407944,42,11541,57,43.21,0,2.22
1778407945,44,11541,57,43.35,0,2.22
1778407947,41,11541,56,42.89,0,2.22
1778407948,35,11541,57,43.14,0,2.22
1778407950,33,11541,57,43.01,0,2.28
1778407951,34,11541,57,43.28,0,2.28
1778407953,44,11541,57,43.40,0,2.28
1778407954,44,11541,57,43.20,0,2.18
1778407956,44,11541,57,43.24,0,2.18
1778407957,42,11541,57,42.95,0,2.18
1778407958,44,11541,57,43.63,0,2.17
1778407960,44,11541,57,43.56,0,2.17
1778407961,41,11541,57,43.13,0,2.17
1778407963,37,11541,58,43.05,0,2.17
1778407964,7,11541,56,39.09,0,2.15
