ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778407968,24,11541,56,25.02,0,2.15
1778407969,35,11541,56,23.75,0,2.14
1778407971,4,1395,56,29.72,0,2.14
1778407972,50,11537,58,54.95,0,2.14
1778407974,49,11537,61,67.93,0,2.13
1778407975,25,11541,60,85.97,0,2.13
1778407977,22,11541,60,68.70,0,2.13
1778407978,40,11541,58,49.63,0,2.13
1778407980,42,11541,58,44.87,0,2.04
1778407981,38,11541,58,44.49,0,2.04
1778407983,32,11541,58,43.95,0,2.04
1778407984,42,11541,57,44.74,0,2.03
1778407985,34,11541,58,43.84,0,2.03
1778407987,30,11541,58,43.99,0,2.03
1778407988,38,11541,58,44.48,0,2.03
1778407990,31,11541,58,44.10,0,2.03
1778407991,40,11541,58,44.12,0,2.03
1778407993,31,11541,58,43.72,0,2.03
1778407994,41,11541,58,44.13,0,2.03
1778407996,42,11541,58,44.14,0,2.03
1778407997,34,11541,58,43.88,0,2.03
1778407999,43,11541,58,43.73,0,2.03
1778408000,43,11541,58,43.81,0,1.95
1778408001,40,11541,59,43.64,0,1.95
1778408003,7,11541,57,29.75,0,1.95
