ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778408007,23,11541,57,25.23,0,2.11
1778408008,35,11541,57,23.72,0,2.11
1778408010,4,1395,57,25.42,0,2.26
1778408011,51,11537,59,49.70,0,2.26
1778408013,14,11537,59,54.01,0,2.26
1778408014,21,11541,60,84.42,30,2.24
1778408015,22,11541,59,66.03,30,2.24
1778408017,38,11541,58,50.35,30,2.24
1778408018,40,11541,57,45.65,30,2.24
1778408020,38,11541,56,44.89,30,2.22
1778408021,29,11541,56,44.20,30,2.22
1778408023,37,11541,56,43.94,30,2.22
1778408024,43,11541,55,44.13,30,2.28
1778408026,37,11541,54,43.26,30,2.28
1778408027,33,11541,54,42.79,30,2.28
1778408029,42,11541,53,43.16,30,2.28
1778408030,38,11541,53,42.94,30,2.18
1778408032,31,11541,52,42.84,30,2.18
1778408033,39,11541,52,42.49,30,2.18
1778408035,43,11541,52,42.48,30,2.25
1778408036,31,11541,51,41.89,30,2.25
1778408037,37,11541,51,42.18,30,2.25
1778408039,44,11541,50,41.96,30,2.15
1778408040,34,11541,51,41.74,30,2.15
1778408042,33,11541,50,41.80,30,2.15
1778408043,43,11541,49,41.89,30,2.15
1778408045,44,11541,49,41.70,30,2.13
