ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778408049,14,11541,47,22.95,30,2.13
1778408050,20,11541,47,23.13,30,2.12
1778408052,10,1395,47,28.06,30,2.12
1778408053,50,11537,48,51.05,30,2.12
1778408054,90,11537,54,62.10,30,2.11
1778408056,22,11541,50,74.57,30,2.11
1778408057,22,11541,48,58.76,30,2.11
1778408059,41,11541,47,53.74,30,2.11
1778408060,36,11541,47,42.28,30,2.10
1778408062,41,11541,46,42.49,30,2.10
1778408063,34,11541,47,41.87,30,2.10
1778408065,39,11541,46,41.67,0,2.01
1778408066,37,11541,46,41.14,0,2.01
1778408067,41,11541,46,41.10,0,2.01
1778408069,31,11541,46,40.72,0,1.93
1778408070,37,11541,47,40.96,0,1.93
1778408072,31,11541,46,40.86,0,1.93
1778408073,44,11541,47,41.10,0,1.93
1778408075,40,11541,46,40.70,0,2.02
1778408076,41,11541,47,40.81,0,2.02
1778408078,37,11541,47,40.81,0,2.02
1778408079,36,11541,48,40.74,0,2.18
1778408080,43,11541,47,41.18,0,2.18
1778408082,40,11541,47,40.72,0,2.18
1778408083,38,11541,47,40.71,0,2.18
1778408085,33,11541,47,40.72,0,2.24
1778408086,30,11541,47,40.59,0,2.24
1778408088,42,11541,47,40.79,0,2.24
1778408089,35,11541,47,40.82,0,2.22
1778408091,33,11541,48,40.88,0,2.22
1778408092,40,11541,49,41.28,0,2.22
1778408094,45,11541,48,41.37,0,2.22
1778408095,43,11541,48,40.71,0,2.12
1778408096,42,11541,49,41.00,0,2.12
1778408098,41,11541,49,41.51,0,2.12
1778408099,42,11541,49,41.15,0,2.11
1778408101,36,11541,49,41.05,0,2.11
1778408102,44,11541,49,41.26,0,2.11
1778408104,46,11541,49,41.20,0,2.11
1778408105,45,11541,49,41.31,0,2.03
1778408107,44,11541,49,41.29,0,2.03
1778408108,33,11541,49,40.82,0,2.03
1778408110,34,11541,49,41.34,0,2.26
1778408111,32,11541,49,40.47,0,2.26
1778408112,45,11541,49,40.49,0,2.26
1778408114,32,11541,49,40.89,0,2.26
1778408115,46,11541,50,41.22,0,2.24
1778408117,37,11541,50,40.79,0,2.24
1778408118,37,11541,50,40.02,0,2.24
1778408120,34,11541,49,39.87,0,2.38
1778408121,32,11541,49,40.48,0,2.38
1778408123,33,11541,49,39.91,0,2.38
1778408124,37,11541,50,40.15,0,2.43
1778408126,39,11541,51,40.66,0,2.43
1778408127,44,11360,50,40.97,0,2.43
1778408128,44,11360,50,41.62,0,2.43
1778408130,6,11360,49,29.68,0,2.48
