ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778408134,21,11360,49,23.04,0,2.48
1778408135,38,11360,49,18.28,0,2.44
1778408137,4,1214,49,25.25,0,2.44
1778408138,16,11354,51,47.82,0,2.44
1778408140,25,11356,50,45.32,0,2.56
1778408141,4,11356,50,35.50,0,2.56
1778408143,21,11360,53,67.16,0,2.56
1778408144,21,11360,53,75.76,0,2.56
1778408145,40,11360,51,43.54,0,2.52
1778408147,39,11360,52,42.93,0,2.52
1778408148,30,11360,51,42.67,0,2.52
1778408150,30,11360,52,42.71,0,2.48
1778408151,30,11360,52,42.71,0,2.48
1778408153,42,11360,51,42.38,0,2.48
1778408154,36,11360,51,42.17,0,2.44
1778408156,33,11360,52,42.36,0,2.44
1778408157,40,11360,51,42.71,0,2.44
1778408159,35,11360,52,42.30,0,2.44
1778408160,40,11360,51,42.54,0,2.40
1778408161,31,11360,52,42.37,0,2.40
1778408163,42,11360,52,42.36,0,2.40
1778408164,34,11360,52,42.27,0,2.37
1778408166,36,11360,53,42.25,0,2.37
1778408167,44,11360,52,42.09,0,2.37
1778408169,34,11360,52,41.92,0,2.37
