ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778408173,14,11360,51,23.50,0,2.34
1778408174,27,997,51,23.01,0,2.34
1778408175,6,3710,51,31.18,0,2.39
1778408177,50,11356,53,54.90,0,2.39
1778408178,67,11360,57,76.31,0,2.39
1778408180,21,11360,56,76.09,0,2.44
1778408181,21,11360,53,65.67,0,2.44
1778408183,40,11360,53,43.68,0,2.44
1778408184,28,11360,53,43.00,0,2.44
1778408186,40,11360,53,43.49,0,2.33
1778408187,30,11360,53,43.32,0,2.33
1778408188,43,11360,53,43.20,0,2.33
1778408190,36,11360,53,42.73,0,2.38
1778408191,39,11360,54,42.47,0,2.38
1778408193,43,11360,53,42.17,0,2.38
1778408194,36,11360,54,42.06,0,2.38
1778408196,43,11360,53,42.15,0,2.59
1778408197,39,11360,53,42.10,0,2.59
1778408199,42,11360,53,42.13,0,2.59
1778408200,41,11360,54,42.20,0,2.62
1778408201,44,11360,53,42.00,0,2.62
1778408203,33,11360,53,41.57,0,2.62
1778408204,36,11360,53,41.90,0,2.57
1778408206,38,11360,53,41.83,0,2.57
1778408207,32,11360,54,41.72,0,2.57
1778408209,8,11360,53,31.46,0,2.57
