ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778408213,19,11360,52,24.10,0,2.53
1778408214,33,997,52,19.11,0,2.53
1778408216,4,8190,53,33.05,0,2.48
1778408217,48,11356,55,56.60,0,2.48
1778408218,21,11360,57,89.33,0,2.48
1778408220,21,11360,55,75.65,0,2.36
1778408221,31,11360,55,53.97,0,2.36
1778408223,42,11360,54,44.24,0,2.36
1778408224,30,11360,54,43.34,0,2.36
1778408226,41,11360,54,43.75,0,2.33
1778408227,31,11360,54,43.10,0,2.33
1778408229,43,11360,54,43.52,0,2.33
1778408230,30,11360,55,43.02,0,2.23
1778408232,38,11360,54,42.97,0,2.23
1778408233,43,11360,54,42.79,0,2.23
1778408235,43,11360,54,42.41,0,2.29
1778408236,43,11360,54,42.69,0,2.29
1778408238,44,11360,54,42.52,0,2.29
1778408239,42,11360,54,42.40,0,2.29
1778408241,32,11360,55,41.93,0,2.35
1778408242,35,11360,55,42.45,0,2.35
1778408243,38,11360,55,42.73,0,2.35
1778408245,43,11360,55,42.67,0,2.32
1778408246,32,11360,55,42.06,0,2.32
1778408248,37,11360,55,42.41,0,2.32
1778408249,41,11360,55,42.65,0,2.32
1778408251,33,11360,55,42.74,0,2.21
1778408252,45,11360,55,42.59,0,2.21
1778408254,32,11360,55,42.00,0,2.21
1778408255,43,11360,56,43.01,0,2.12
1778408257,36,11360,55,42.20,0,2.12
1778408258,37,11360,56,42.60,0,2.12
1778408259,45,11360,55,42.47,0,2.12
1778408261,38,11360,55,42.17,0,2.11
1778408262,35,11360,56,42.88,0,2.11
1778408264,38,11360,55,42.57,0,2.11
1778408265,36,11360,56,42.79,0,2.10
1778408267,39,11360,55,42.50,0,2.10
1778408268,42,11360,55,42.55,0,2.10
1778408270,45,11360,55,42.56,0,2.01
1778408272,35,11360,56,42.46,0,2.01
1778408273,35,11360,56,42.60,0,2.01
1778408275,44,11360,55,43.01,0,2.01
1778408276,45,11360,55,43.32,0,2.01
1778408278,41,11360,55,43.10,0,2.01
1778408279,31,11360,56,43.26,0,2.01
1778408281,42,11360,56,43.05,0,2.01
1778408282,33,11360,56,42.57,0,2.01
1778408283,38,11360,56,43.16,0,2.01
1778408285,33,11360,56,42.59,0,2.01
1778408286,45,11360,56,43.33,0,2.01
1778408288,35,11360,56,43.00,0,2.01
1778408289,44,11360,56,43.39,0,2.01
1778408291,36,11360,56,43.00,0,2.09
1778408292,35,11360,57,43.12,0,2.09
1778408294,37,11360,56,42.88,0,2.09
1778408295,35,11360,57,43.62,0,2.08
1778408296,31,11360,56,43.32,0,2.08
1778408298,44,11360,56,43.56,0,2.08
1778408299,32,11360,56,43.19,0,2.08
1778408301,44,11360,57,43.42,0,2.07
1778408302,46,11360,56,43.54,0,2.07
1778408304,45,11360,57,43.68,0,2.07
1778408305,46,11360,56,43.30,0,2.07
1778408307,45,11360,57,43.51,0,2.07
1778408308,45,11360,57,42.97,0,2.07
1778408310,33,11360,56,43.09,0,2.07
1778408311,37,11360,56,43.01,0,2.06
1778408313,34,11360,57,43.12,0,2.06
1778408314,33,11360,57,42.88,0,2.06
1778408315,34,11360,57,43.16,0,1.98
1778408317,41,11360,57,43.15,0,1.98
1778408318,33,11360,57,42.86,0,1.98
1778408320,32,11360,57,43.04,0,1.98
1778408321,45,11360,57,43.68,0,1.98
1778408323,39,11360,57,43.36,0,1.98
1778408324,41,11360,57,43.54,0,1.98
1778408326,42,11360,57,43.55,0,1.98
1778408327,34,11360,57,43.37,0,1.98
1778408329,40,11360,58,43.47,0,1.98
1778408330,41,11360,57,43.74,0,1.90
1778408332,38,11360,58,43.55,0,1.90
1778408333,40,11360,57,44.11,0,1.90
1778408334,43,11360,57,43.65,0,1.90
1778408336,45,11360,57,43.61,0,1.91
1778408337,46,11360,57,43.72,0,1.91
1778408339,39,11360,58,43.17,0,1.91
1778408340,44,11360,58,43.23,0,1.84
1778408342,39,11360,57,42.99,0,1.84
1778408343,46,11360,57,43.40,0,1.84
1778408345,34,11360,57,43.86,0,1.84
1778408346,34,11360,57,43.69,0,1.85
1778408348,40,11360,58,43.96,0,1.85
1778408349,35,11360,57,44.26,0,1.85
1778408350,38,11360,58,43.45,0,1.94
1778408352,32,11360,57,43.65,0,1.94
1778408353,39,11360,58,43.35,0,1.94
1778408355,34,11360,57,43.33,0,1.94
1778408356,33,11360,57,43.60,0,1.94
1778408358,42,11360,57,43.57,0,1.94
1778408359,45,11360,58,43.53,0,1.94
1778408361,44,11360,58,44.00,0,1.87
1778408362,45,11360,58,43.96,0,1.87
1778408363,44,11360,58,43.72,0,1.87
1778408365,32,11360,57,43.79,0,1.87
1778408366,45,11360,58,43.81,0,1.80
1778408368,36,11360,58,43.23,0,1.80
1778408369,45,11360,58,43.80,0,1.80
1778408371,45,11360,57,43.83,0,1.81
