ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778408375,22,11360,56,24.74,0,1.91
1778408377,36,11553,56,22.58,0,1.91
1778408378,57,11244,57,36.09,0,1.91
1778408380,30,11246,59,55.22,0,1.91
1778408381,35,11252,66,45.40,0,1.84
1778408382,96,11237,71,217.57,30,1.84
1778408384,97,11237,71,217.20,30,1.84
1778408385,97,11237,72,217.51,30,1.85
1778408387,96,11237,72,217.99,30,1.85
1778408388,96,11237,72,218.31,36,1.85
1778408390,96,11237,72,218.90,43,1.85
1778408391,97,11237,72,219.04,49,1.78
1778408393,95,11237,71,218.65,52,1.78
1778408394,97,11237,71,219.19,54,1.78
1778408395,97,11237,71,218.90,55,1.80
1778408397,96,11237,70,218.90,56,1.80
1778408398,97,11237,70,218.74,56,1.80
1778408400,96,11237,70,218.28,57,1.80
1778408401,97,11237,69,218.05,56,1.89
1778408403,96,11237,69,217.88,56,1.89
1778408404,97,11237,69,217.68,56,1.89
1778408405,96,11237,68,217.52,56,1.89
1778408407,97,11237,68,217.56,57,1.98
1778408408,97,11237,68,217.59,56,1.98
1778408410,96,11237,68,217.24,56,1.98
1778408411,96,11237,68,216.68,57,1.98
1778408412,96,11237,68,216.85,56,1.98
1778408414,97,11237,67,216.56,56,1.98
1778408415,95,11237,67,216.33,57,1.98
1778408417,97,11237,67,216.44,57,1.98
1778408418,97,11237,67,216.40,57,1.98
1778408419,97,11237,67,216.22,56,1.98
1778408421,97,11237,67,216.00,57,2.07
1778408422,97,11237,66,215.75,57,2.07
1778408424,97,11237,66,216.63,57,2.07
1778408425,97,11237,66,216.41,56,2.07
1778408427,97,11237,66,216.17,56,2.14
1778408428,97,11237,66,216.00,56,2.14
1778408429,97,11237,66,215.79,56,2.14
