ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778408433,10,11237,50,25.65,54,2.05
1778408434,15,1163,49,24.81,50,2.05
1778408436,97,11231,50,34.25,44,1.96
1778408437,88,11237,62,69.56,39,1.96
1778408439,96,11237,62,209.00,35,1.96
1778408440,97,11237,62,210.02,32,1.96
1778408441,96,11237,63,210.98,31,1.89
1778408443,95,11237,63,210.89,30,1.89
1778408444,97,11237,64,211.32,30,1.89
1778408446,97,11237,64,212.10,31,1.90
1778408447,97,11237,65,212.81,32,1.90
1778408448,96,11237,65,212.60,33,1.90
1778408450,96,11237,65,212.86,35,1.90
1778408451,97,11237,66,213.48,36,1.90
1778408453,97,11237,66,213.98,37,1.90
1778408454,97,11237,66,214.10,37,1.90
1778408455,96,11237,66,214.28,38,1.90
1778408457,97,11237,66,214.35,39,1.91
1778408458,97,11237,66,214.27,39,1.91
1778408460,96,11237,66,214.95,40,1.91
1778408461,97,11237,67,215.12,40,1.84
1778408463,97,11237,67,215.73,41,1.84
1778408464,97,11237,67,215.66,41,1.84
1778408465,96,11237,67,215.82,42,1.84
1778408467,96,11237,67,215.99,42,2.01
1778408468,96,11237,67,215.62,42,2.01
1778408470,96,11237,67,215.53,43,2.01
1778408471,97,11237,67,216.48,43,1.93
1778408472,97,11237,67,215.58,43,1.93
1778408474,97,11237,68,216.52,43,1.93
1778408475,96,11237,67,216.51,44,1.93
1778408477,97,11237,67,216.68,44,1.85
1778408478,97,11237,67,216.37,44,1.85
1778408479,97,11237,67,216.69,44,1.85
1778408481,96,11237,67,216.32,44,1.85
1778408482,97,11237,67,216.52,45,1.87
1778408483,96,11237,67,216.31,45,1.87
1778408485,97,11237,67,216.82,45,1.87
1778408486,97,11237,67,216.65,45,1.88
1778408488,97,11237,67,216.69,45,1.88
1778408489,96,11237,67,216.71,45,1.88
1778408490,96,11237,67,216.96,45,1.88
1778408492,97,11237,67,216.68,45,1.81
1778408493,97,11237,68,216.91,45,1.81
1778408495,97,11237,67,217.07,45,1.81
1778408496,96,11237,68,216.70,45,1.90
1778408497,97,11237,68,216.72,46,1.90
1778408499,97,11237,67,217.04,45,1.90
1778408500,97,11237,68,216.71,46,1.90
1778408502,96,11237,67,217.10,46,1.83
1778408503,96,11237,67,216.75,46,1.83
1778408504,97,11237,67,217.50,46,1.83
1778408506,97,11237,68,216.70,46,1.76
1778408507,96,11237,67,216.90,46,1.76
1778408509,97,11237,67,216.98,46,1.76
1778408510,97,11237,68,216.74,46,1.76
1778408512,97,11237,67,216.95,46,1.78
1778408513,97,11237,68,217.41,46,1.78
