ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778408517,10,11237,52,26.99,46,1.88
1778408518,27,991,51,22.33,45,1.88
1778408520,55,11231,52,38.83,42,1.88
1778408521,98,11237,64,93.13,40,1.89
1778408523,97,11237,64,210.86,37,1.89
1778408524,96,11237,64,211.05,36,1.89
1778408525,97,11237,64,211.49,35,1.89
1778408527,96,11237,65,211.94,34,1.82
1778408528,97,11237,65,212.59,34,1.82
1778408530,96,11237,65,213.09,35,1.82
1778408531,97,11237,66,213.74,36,1.91
1778408533,97,11237,66,213.91,37,1.91
1778408534,97,11237,66,214.46,38,1.91
1778408535,97,11237,66,214.58,39,1.91
1778408537,97,11237,67,215.20,39,1.92
1778408538,97,11237,66,214.80,40,1.92
1778408540,97,11237,66,215.51,41,1.92
1778408541,96,11237,67,215.51,41,1.92
1778408542,97,11237,67,215.77,42,1.92
1778408544,97,11237,67,215.98,42,1.92
1778408545,97,11237,67,216.08,43,1.92
1778408547,97,11237,67,216.54,43,1.93
1778408548,97,11237,68,216.57,43,1.93
1778408549,96,11237,68,216.54,44,1.93
1778408551,96,11237,67,216.19,44,1.93
1778408552,97,11237,67,216.75,44,1.86
1778408554,97,11237,67,216.17,44,1.86
1778408555,97,11237,67,216.73,44,1.86
1778408557,97,11237,68,216.52,45,2.03
1778408558,96,11237,68,216.83,45,2.03
1778408559,97,11237,67,216.78,45,2.03
1778408561,97,11237,68,216.69,45,2.03
1778408562,97,11237,67,216.32,45,2.02
1778408564,97,11237,67,216.78,45,2.02
1778408565,96,11237,68,216.62,45,2.02
1778408566,96,11237,68,216.93,45,2.02
1778408568,97,11237,67,216.69,45,2.02
1778408569,97,11237,67,217.08,46,2.02
1778408570,97,11237,68,217.04,46,2.02
1778408572,96,11237,68,217.13,46,2.02
1778408573,97,11237,67,216.80,46,2.02
1778408575,97,11237,68,217.07,46,2.02
1778408576,97,11237,68,217.22,46,2.02
1778408577,97,11237,67,217.00,46,1.94
1778408579,97,11237,67,216.99,46,1.94
1778408580,97,11237,68,216.79,46,1.94
1778408582,98,11237,67,217.49,46,1.94
1778408583,97,11237,68,217.22,46,1.94
1778408584,97,11237,67,217.71,46,1.94
1778408586,97,11237,68,217.23,46,1.94
1778408587,3,11237,57,155.21,46,1.87
