ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778408591,14,11237,52,24.99,46,1.87
1778408593,26,1163,51,24.70,44,1.80
1778408594,50,11391,52,44.47,41,1.80
1778408595,96,11397,62,130.42,38,1.80
1778408597,97,11397,63,210.86,35,1.81
1778408598,96,11397,64,211.25,34,1.81
1778408600,96,11397,64,211.91,33,1.81
1778408601,97,11397,65,212.71,33,1.81
1778408603,97,11397,65,213.41,34,1.75
1778408604,97,11397,66,213.75,35,1.75
1778408605,97,11397,66,213.85,36,1.75
1778408607,96,11397,66,214.19,37,1.77
1778408608,97,11397,66,214.81,38,1.77
1778408610,97,11397,66,214.96,39,1.77
1778408611,97,11397,66,215.20,39,1.77
1778408612,97,11397,67,215.29,40,1.71
1778408614,97,11397,67,215.72,41,1.71
1778408615,96,11397,67,215.72,41,1.71
1778408617,97,11397,67,215.68,42,1.71
1778408618,96,11397,67,214.12,42,1.97
1778408619,97,11397,67,214.03,42,1.97
1778408621,96,11397,67,214.31,43,1.97
1778408622,97,11397,67,213.77,43,1.89
1778408624,97,11397,67,213.59,43,1.89
1778408625,97,11397,67,213.69,43,1.89
1778408626,96,11397,67,213.75,43,1.89
1778408628,97,11397,67,214.07,44,1.90
1778408629,96,11397,67,214.44,44,1.90
1778408631,96,11397,67,214.79,44,1.90
1778408632,97,11397,67,214.45,44,1.99
1778408633,97,11397,67,214.14,44,1.99
1778408635,97,11397,67,214.28,44,1.99
1778408636,97,11397,67,214.70,44,1.99
1778408637,96,11397,67,215.04,45,1.99
1778408639,97,11397,68,214.51,45,1.99
1778408640,96,11397,67,214.61,45,1.99
1778408642,96,11397,67,215.15,45,1.99
1778408643,97,11397,68,214.78,45,1.99
1778408644,97,11397,67,214.80,45,1.99
1778408646,97,11397,68,216.89,45,1.99
1778408647,96,11397,68,217.03,45,2.07
1778408649,97,11397,68,217.41,45,2.07
1778408650,96,11397,68,217.17,45,2.07
1778408651,97,11397,68,217.44,46,2.07
1778408653,97,11397,68,217.35,46,2.06
1778408654,97,11397,68,217.51,46,2.06
1778408656,96,11397,68,217.01,46,2.06
1778408657,97,11397,68,216.99,46,2.06
1778408658,97,11397,68,217.19,46,2.14
1778408660,97,11397,68,217.72,46,2.14
1778408661,97,11397,68,217.47,46,2.14
1778408663,97,11397,68,217.71,46,2.05
1778408664,97,11397,68,217.72,46,2.05
1778408665,97,11397,68,217.20,46,2.05
1778408667,97,11397,68,217.52,47,2.05
1778408668,97,11397,68,217.99,47,1.96
1778408670,97,11397,68,217.12,47,1.96
1778408671,97,11397,68,217.41,47,1.96
1778408672,97,11397,68,217.43,47,1.89
1778408674,97,11397,68,217.55,47,1.89
1778408675,97,11397,67,217.64,47,1.89
1778408677,96,11397,68,217.14,47,1.89
1778408678,96,11397,68,217.37,47,1.81
1778408679,96,11397,68,218.08,47,1.81
1778408681,97,11397,67,217.88,47,1.81
