ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778409195,97,11413,66,207.29,48,1.89
1778409197,97,11413,66,207.16,48,1.89
1778409198,97,11413,66,207.32,48,1.81
1778409200,97,11413,66,207.02,48,1.81
1778409201,96,11413,66,207.52,48,1.81
1778409203,96,11413,66,207.70,48,1.91
1778409204,97,11413,66,208.15,48,1.91
1778409205,97,11413,66,207.22,48,1.91
1778409207,96,11413,67,208.46,48,1.91
1778409208,97,11413,66,208.18,48,1.84
1778409209,96,11413,66,208.14,48,1.84
1778409211,97,11413,66,208.71,48,1.84
1778409212,97,11413,66,208.39,48,1.84
1778409214,97,11413,66,208.74,48,1.77
1778409215,96,11413,66,209.14,48,1.77
1778409217,97,11413,67,209.01,48,1.77
1778409218,97,11413,67,208.94,48,1.79
1778409219,97,11413,66,208.94,48,1.79
1778409221,97,11413,66,209.32,48,1.79
1778409222,97,11413,66,208.98,48,1.79
1778409224,96,11413,66,209.09,48,1.88
1778409225,97,11413,66,208.76,48,1.88
1778409226,97,11413,66,209.08,48,1.88
1778409228,96,11413,66,209.05,48,1.73
1778409229,5,1007,56,124.95,48,1.73
1778409231,47,11408,55,56.96,48,1.73
1778409232,96,11414,65,181.54,48,1.73
1778409233,97,11414,66,213.52,48,1.75
1778409235,97,11414,66,213.91,47,1.75
1778409236,96,11414,66,214.16,47,1.75
1778409238,96,11414,66,214.03,47,1.69
1778409239,96,11414,66,214.77,47,1.69
1778409240,96,11414,66,214.70,47,1.69
1778409242,97,11414,66,214.32,47,1.69
1778409243,97,11414,66,214.96,47,1.72
1778409245,96,11414,66,214.98,47,1.72
1778409246,97,11414,67,215.33,47,1.72
1778409247,97,11414,67,215.52,47,1.72
1778409249,97,11414,67,215.76,47,1.66
1778409250,97,11414,66,215.91,47,1.66
1778409252,97,11414,67,215.84,47,1.66
1778409253,95,11414,66,215.70,47,2.01
1778409254,97,11414,67,215.21,47,2.01
1778409256,97,11414,67,215.72,47,2.01
1778409257,97,11414,67,215.71,47,2.01
1778409259,97,11414,67,216.37,47,2.01
1778409260,97,11414,67,216.01,47,2.01
1778409262,97,11414,67,215.97,47,2.01
1778409263,97,11414,67,216.48,47,1.93
1778409264,96,11414,67,216.49,47,1.93
1778409266,97,11414,67,216.21,47,1.93
1778409267,97,11414,67,216.50,47,1.93
1778409269,97,11414,67,216.88,47,1.93
1778409270,96,11414,67,216.59,47,1.93
1778409271,97,11414,67,216.56,47,1.93
1778409273,96,11414,67,216.70,47,1.93
1778409274,97,11414,68,216.50,47,1.94
1778409276,96,11414,67,216.53,47,1.94
1778409277,97,11414,67,217.29,47,1.94
1778409278,97,11414,67,216.55,47,2.10
1778409280,97,11414,67,217.18,47,2.10
1778409281,97,11414,67,217.21,47,2.10
1778409283,97,11414,68,216.79,47,2.10
1778409284,97,11414,67,216.67,47,2.09
1778409285,96,11414,67,217.12,47,2.09
1778409287,97,11414,68,217.49,47,2.09
1778409288,97,11414,68,217.36,47,2.17
1778409290,97,11414,68,217.13,47,2.17
1778409291,97,11414,68,217.85,48,2.17
1778409292,97,11414,67,217.18,47,2.17
1778409294,97,11414,68,217.36,48,2.15
1778409295,97,11414,68,217.12,48,2.15
1778409297,97,11414,68,217.56,48,2.15
1778409298,97,11414,67,218.03,48,2.15
1778409299,97,11414,68,217.29,48,2.06
1778409301,97,11414,68,217.63,48,2.06
1778409302,97,11414,68,216.72,48,2.06
1778409304,97,11414,68,217.17,48,1.89
1778409305,97,11414,68,216.96,48,1.89
1778409306,97,11414,68,217.18,48,1.89
1778409308,97,11414,68,217.16,48,1.89
1778409309,97,11414,68,216.82,48,1.98
1778409311,97,11414,67,217.32,48,1.98
1778409312,97,11414,67,217.24,48,1.98
1778409314,97,11414,68,216.93,48,1.90
1778409315,97,11414,68,216.98,48,1.90
1778409317,97,11414,68,216.82,48,1.90
1778409319,97,11414,68,217.20,48,1.91
1778409321,97,11414,68,216.88,48,1.91
1778409322,96,11414,68,217.51,48,1.91
1778409324,97,11414,68,217.13,48,1.84
1778409325,97,11414,68,217.18,48,1.84
1778409327,97,11414,68,217.21,48,1.84
1778409328,97,11414,68,216.88,48,1.84
1778409329,97,11414,68,217.32,48,1.77
1778409331,96,11414,67,217.41,48,1.77
1778409332,97,11414,68,216.99,48,1.77
1778409334,96,11414,67,217.41,48,1.87
1778409335,96,11414,68,217.36,48,1.87
1778409336,97,11414,67,217.49,48,1.87
1778409338,97,11414,68,217.01,48,1.87
1778409339,96,11414,67,217.45,48,1.96
1778409341,97,11414,68,217.27,48,1.96
1778409342,97,11414,67,217.16,48,1.96
1778409343,97,11414,68,217.38,48,1.96
1778409345,97,11414,68,217.01,48,1.88
1778409346,97,11414,68,217.50,49,1.88
1778409348,97,11414,68,217.61,48,1.88
1778409349,97,11414,68,217.78,48,1.89
1778409350,97,11414,68,217.58,49,1.89
1778409352,97,11414,68,217.40,49,1.89
1778409353,96,11414,67,217.31,49,1.89
1778409355,97,11414,67,217.14,49,1.98
1778409356,4,11414,57,101.14,49,1.98
