ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778409360,23,11414,52,19.23,47,2.14
1778409361,28,1178,51,17.13,45,2.14
1778409363,56,11406,52,40.43,42,2.14
1778409364,100,11412,65,103.67,39,2.05
1778409366,97,11412,63,210.39,36,2.05
1778409367,96,11412,64,211.24,34,2.05
1778409369,97,11412,65,211.64,33,2.05
1778409370,96,11412,65,211.88,33,2.29
1778409371,97,11412,65,212.96,34,2.29
1778409373,97,11412,65,213.34,35,2.29
1778409374,97,11412,66,213.90,36,2.34
1778409375,97,11412,66,214.33,37,2.34
1778409377,97,11412,66,214.70,38,2.34
1778409378,96,11412,67,214.67,39,2.34
1778409380,97,11412,67,215.06,40,2.47
1778409381,97,11412,67,215.53,41,2.47
1778409383,97,11412,67,215.90,41,2.47
1778409384,97,11412,67,215.86,42,2.44
1778409385,97,11412,67,215.89,42,2.44
1778409387,97,11412,67,216.14,43,2.44
1778409388,96,11412,67,216.06,43,2.44
1778409390,97,11412,68,216.53,44,2.40
1778409391,97,11412,68,216.07,44,2.40
1778409392,97,11412,68,216.30,44,2.40
1778409394,97,11412,68,216.27,45,2.40
1778409395,96,11412,67,216.90,45,2.29
1778409396,95,11412,68,216.62,45,2.29
1778409398,97,11412,68,216.51,45,2.29
1778409399,97,11412,68,216.35,45,2.59
1778409401,96,11412,68,216.70,46,2.59
1778409402,96,11412,68,216.60,46,2.59
1778409403,97,11412,68,216.47,46,2.59
1778409405,96,11412,68,216.71,46,2.46
1778409406,97,11412,68,216.90,46,2.46
1778409408,96,11412,68,216.95,46,2.46
1778409409,97,11412,68,216.91,46,2.42
1778409410,96,11412,68,216.67,46,2.42
1778409412,97,11412,68,217.43,47,2.42
1778409413,97,11412,68,217.35,47,2.42
1778409415,97,11412,68,217.12,47,2.31
1778409416,96,11412,68,217.18,47,2.31
1778409418,97,11412,68,217.10,47,2.31
1778409419,96,11412,68,217.09,47,2.20
1778409420,97,11412,68,217.23,47,2.20
1778409422,96,11412,69,217.54,47,2.20
1778409423,96,11412,69,217.34,47,2.20
1778409425,96,11412,68,217.48,47,2.11
1778409426,97,11412,68,217.43,47,2.11
1778409427,97,11412,68,216.93,48,2.11
1778409429,97,11412,69,217.57,47,2.11
1778409430,97,11412,68,216.77,48,2.02
1778409432,96,11412,68,216.65,48,2.02
1778409433,97,11412,68,216.67,48,2.02
1778409434,97,11412,68,217.32,48,2.26
1778409436,97,11412,68,217.40,48,2.26
1778409437,97,11412,68,216.94,48,2.26
1778409439,96,11412,68,216.90,48,2.26
1778409440,97,11412,68,217.14,48,2.15
1778409441,97,11412,68,217.26,48,2.15
1778409443,97,11412,68,217.17,48,2.15
1778409444,97,11412,68,217.22,48,2.06
1778409446,97,11412,68,216.93,48,2.06
1778409447,97,11412,68,217.33,48,2.06
1778409448,97,11412,68,217.06,48,2.06
1778409450,96,11412,68,217.09,48,1.98
1778409451,97,11412,68,216.71,48,1.98
1778409452,97,11412,68,217.01,48,1.98
1778409454,98,11412,68,217.32,48,1.98
1778409455,97,11412,68,217.16,48,1.90
1778409457,97,11412,68,217.32,48,1.90
1778409458,96,11412,68,217.27,48,1.90
1778409459,97,11412,68,217.27,48,1.91
1778409461,97,11412,67,217.24,48,1.91
1778409462,97,11412,68,217.30,48,1.91
1778409464,97,11412,68,216.81,48,1.91
1778409465,97,11412,68,217.25,48,1.99
1778409466,97,11412,68,217.34,48,1.99
1778409468,95,11412,68,216.66,48,1.99
1778409469,97,11412,68,217.36,48,1.99
1778409471,97,11412,68,217.29,48,1.99
1778409472,97,11412,68,217.46,48,1.99
1778409473,96,11412,68,217.40,48,1.99
1778409475,97,11412,68,217.48,48,1.99
1778409476,97,11412,68,216.93,48,1.99
1778409478,96,11412,68,217.35,49,1.99
1778409479,97,11412,68,217.14,48,1.99
1778409480,97,11412,68,217.30,49,1.91
1778409482,97,11412,67,217.21,49,1.91
1778409483,97,11412,68,217.23,49,1.91
1778409485,97,11412,68,217.33,49,1.92
1778409486,97,11412,68,217.57,49,1.92
1778409487,97,11412,68,217.49,49,1.92
1778409489,97,11412,68,216.76,49,1.92
1778409490,97,11412,68,217.00,49,2.01
1778409492,97,11412,68,217.05,49,2.01
1778409493,96,11412,68,217.16,49,2.01
1778409494,97,11412,68,217.16,48,2.09
1778409496,97,11412,68,217.66,49,2.09
1778409497,97,11412,68,217.56,49,2.09
1778409499,97,11412,68,217.65,49,2.09
1778409500,97,11412,68,217.55,49,2.16
1778409502,97,11412,68,217.05,49,2.16
1778409503,97,11412,68,217.11,49,2.16
1778409504,97,11412,68,217.16,49,2.15
1778409506,97,11412,68,217.43,49,2.15
