ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778409509,11,11412,53,25.54,49,3.17
1778409511,16,11623,52,25.04,47,3.17
1778409512,2,11376,52,44.05,44,3.17
1778409514,4,11376,51,44.55,41,3.17
1778409516,32,11378,50,35.94,38,3.08
1778409517,29,11378,50,36.10,35,3.08
1778409519,55,11378,50,36.90,33,3.08
1778409520,82,11386,52,72.98,31,3.07
1778409521,14,11386,50,64.25,30,3.07
1778409523,31,11386,49,37.92,30,3.07
1778409524,30,11386,49,34.59,30,2.91
1778409526,32,11386,48,34.01,30,2.91
1778409527,34,11386,48,33.39,30,2.91
1778409529,33,11386,48,33.08,30,2.91
1778409530,34,11386,47,32.90,30,2.83
1778409532,32,11386,48,32.76,30,2.83
1778409533,36,11386,47,32.69,30,2.83
1778409535,39,11386,47,32.69,30,2.93
1778409536,32,11386,47,32.32,30,2.93
1778409538,34,11386,46,32.34,30,2.93
1778409539,40,11386,46,32.23,30,2.93
1778409541,34,11386,46,32.00,30,2.77
1778409542,11,11386,45,24.62,30,2.77
