ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778409546,31,11386,44,16.82,30,2.71
1778409548,37,997,44,15.71,30,2.71
1778409549,4,5432,44,25.76,30,2.71
1778409550,12,11378,45,46.88,30,2.65
1778409552,26,11378,44,41.54,30,2.65
1778409553,32,11378,44,35.38,30,2.65
1778409555,49,11378,46,56.12,30,2.52
1778409556,15,11386,46,67.72,30,2.52
1778409558,30,11386,45,44.15,30,2.52
1778409559,27,11386,44,33.74,30,2.52
1778409561,29,11386,44,32.91,30,2.40
1778409562,34,11386,43,32.61,30,2.40
1778409564,29,11386,43,31.90,30,2.40
1778409565,38,11386,43,31.96,30,2.37
1778409566,38,11386,43,31.80,30,2.37
1778409568,40,11386,43,31.48,0,2.37
1778409569,41,11386,43,31.45,0,2.37
1778409571,8,11386,42,28.35,0,2.42
