ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778409574,33,11386,42,19.85,0,2.42
1778409576,36,997,42,16.05,0,2.38
1778409577,16,1208,43,24.50,0,2.38
1778409578,3,11378,44,44.02,0,2.38
1778409580,27,11378,44,44.03,0,2.27
1778409581,37,11378,44,36.33,0,2.27
1778409583,53,11378,46,59.07,0,2.27
1778409584,14,11386,46,61.27,0,2.27
1778409586,26,11386,45,39.46,0,2.25
1778409587,29,11386,45,33.46,0,2.25
1778409589,32,11386,45,32.87,0,2.25
1778409590,30,11386,45,32.40,0,2.15
1778409592,32,11386,45,32.38,0,2.15
1778409593,40,11386,45,32.26,0,2.15
1778409595,39,11386,45,31.86,0,2.14
1778409596,37,11386,45,31.86,0,2.14
1778409598,32,11386,45,31.44,0,2.14
1778409599,36,11386,45,31.34,0,2.14
1778409600,34,11386,45,31.73,0,2.13
1778409602,42,11386,45,31.84,0,2.13
1778409603,38,11386,45,31.44,0,2.13
1778409605,44,11386,45,31.60,0,2.12
1778409606,44,11386,46,31.90,0,2.12
1778409608,34,11386,45,31.47,0,2.12
1778409609,43,11386,46,31.61,0,2.12
1778409611,31,11386,46,31.57,0,2.11
1778409612,34,11386,46,31.42,0,2.11
1778409614,35,11386,46,31.22,0,2.11
1778409615,36,11386,46,31.32,0,2.10
1778409616,34,11386,46,31.19,0,2.10
1778409618,46,11386,46,31.34,0,2.10
1778409619,34,11386,46,31.43,0,2.10
1778409621,34,11386,46,31.57,0,2.33
1778409622,33,11386,46,31.34,0,2.33
1778409624,38,11386,46,31.54,0,2.33
1778409625,35,11386,47,31.48,0,2.30
1778409627,42,11386,46,31.49,0,2.30
1778409628,34,11386,47,31.58,0,2.30
