ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778409633,34,11386,46,21.57,0,2.20
1778409634,39,997,46,16.23,0,2.20
1778409635,4,5048,47,29.97,0,2.10
1778409637,24,11376,48,47.44,0,2.10
1778409638,28,11378,47,40.45,0,2.10
1778409640,37,11378,48,37.32,0,2.10
1778409641,66,11378,55,53.66,0,2.09
1778409642,18,11386,50,72.12,0,2.09
1778409644,25,11386,48,55.71,0,2.09
1778409645,28,11386,48,34.49,0,2.17
1778409647,31,11386,48,33.52,0,2.17
1778409648,33,11386,48,33.37,0,2.17
1778409650,29,11386,48,33.03,0,2.47
1778409651,37,11386,48,32.80,0,2.47
1778409653,41,11386,48,32.60,0,2.47
1778409654,31,11386,48,32.41,0,2.47
1778409656,40,11386,49,32.55,0,2.51
1778409657,42,11386,48,32.39,0,2.51
1778409659,43,11386,48,32.56,0,2.51
1778409660,41,11386,48,32.18,0,2.47
1778409661,32,11386,48,32.10,0,2.47
