ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778409665,31,11386,48,21.70,0,2.68
1778409666,26,997,47,16.51,0,2.68
1778409668,4,3128,48,29.03,0,2.68
1778409669,19,11380,50,46.92,0,2.68
1778409671,27,11380,49,42.24,0,2.54
1778409672,37,11380,50,37.08,0,2.54
1778409674,51,11380,51,61.94,0,2.54
1778409675,16,11388,51,70.91,0,2.42
1778409677,17,11388,51,64.08,0,2.42
1778409678,27,11388,50,34.60,0,2.42
1778409679,27,11388,50,33.66,0,2.42
1778409681,32,11388,49,33.37,0,2.30
1778409682,36,11388,49,33.06,0,2.30
1778409684,32,11388,49,32.88,0,2.30
1778409685,39,11388,50,32.63,0,2.12
1778409687,32,11388,49,32.55,0,2.12
1778409688,44,11388,50,32.41,0,2.12
1778409690,34,11388,49,32.75,0,2.12
1778409691,34,11388,49,32.62,0,2.11
1778409693,42,11388,50,33.06,0,2.11
1778409694,44,11388,50,33.10,0,2.11
1778409696,34,11388,50,32.74,0,1.94
1778409697,36,11388,50,32.94,0,1.94
1778409699,39,11388,50,33.02,0,1.94
1778409700,33,11388,50,32.95,0,1.94
1778409701,34,11388,50,32.65,0,1.86
1778409703,33,11388,50,32.62,0,1.86
1778409704,32,11388,50,32.95,0,1.86
1778409706,38,11388,50,32.99,0,1.88
1778409707,35,11388,50,32.59,0,1.88
1778409709,41,11388,50,32.67,0,1.88
1778409710,35,11388,50,32.76,0,1.89
1778409712,45,11388,50,32.78,0,1.89
1778409713,35,11388,50,32.62,0,1.89
1778409715,33,11388,50,32.82,0,1.89
1778409716,41,11388,50,32.83,0,1.81
