ts,gpu_util_pct,gpu_mem_used_mb,gpu_temp_c,gpu_power_w,gpu_fan_pct,host_load1
1778410324,51,11371,56,75.32,0,2.42
1778410325,21,11371,56,65.82,0,2.42
1778410326,20,11588,54,46.61,0,2.42
1778410328,19,11588,54,46.45,0,2.39
1778410329,20,11588,55,46.25,0,2.39
1778410331,19,11588,55,46.16,0,2.39
1778410332,20,11588,55,46.41,0,3.08
1778410334,30,11588,54,35.47,0,3.08
1778410335,26,11588,54,35.06,0,3.08
1778410337,35,11588,54,34.51,0,3.08
1778410338,29,11588,54,34.06,0,3.07
1778410340,29,11588,54,33.99,0,3.07
1778410341,40,11588,54,33.56,0,3.07
1778410343,30,11588,54,33.27,0,3.70
1778410344,30,11588,54,33.13,0,3.70
1778410346,35,11588,54,33.06,0,3.70
1778410347,33,11588,54,33.48,0,3.70
1778410348,35,11588,54,33.49,0,3.73
1778410350,44,11588,54,33.80,0,3.73
1778410351,38,11588,54,33.51,0,3.73
1778410353,35,11588,54,33.40,0,3.67
1778410354,40,11588,54,33.38,0,3.67
1778410356,43,11588,54,33.13,0,3.67
1778410357,35,11588,54,33.03,0,3.67
1778410359,38,11588,54,33.10,0,3.94
1778410360,34,11588,54,33.28,0,3.94
1778410361,33,11588,54,33.23,0,3.94
1778410363,42,11588,54,33.35,0,3.70
1778410364,34,11588,54,33.24,0,3.70
1778410366,34,11588,54,32.97,0,3.70
1778410367,34,11588,54,32.93,0,3.70
1778410369,39,11588,54,33.27,0,3.56
1778410370,35,11588,54,33.44,0,3.56
1778410372,37,11588,54,32.97,0,3.56
1778410373,10,1199,54,32.26,0,3.52
1778410375,5,11339,54,28.50,0,3.52
1778410376,31,11341,55,52.55,0,3.52
1778410377,32,11341,54,40.42,0,3.52
1778410379,4,11341,54,35.28,0,3.32
1778410380,21,11345,57,89.35,0,3.32
1778410382,39,11345,56,72.36,0,3.32
1778410383,30,11345,56,44.33,0,3.37
1778410385,38,11345,56,44.06,0,3.37
1778410386,41,11345,55,44.06,0,3.37
1778410388,43,11345,55,43.99,0,3.18
1778410389,31,11345,56,43.28,0,3.18
1778410391,42,11345,55,43.82,0,3.18
1778410392,41,11345,55,42.95,0,3.18
1778410393,31,11345,56,42.72,0,3.01
1778410395,39,11345,55,42.96,0,3.01
1778410396,43,11345,55,43.25,0,3.01
1778410398,41,11345,56,42.66,0,2.93
1778410399,38,11345,56,42.72,0,2.93
1778410401,39,11345,56,42.62,0,2.93
1778410402,39,11345,56,42.75,0,2.93
1778410404,32,11345,56,42.52,0,2.85
1778410405,33,11345,56,42.62,0,2.85
1778410406,37,11345,56,42.31,0,2.85
1778410408,35,11345,57,42.61,0,2.70
1778410409,45,11345,56,42.55,0,2.70
1778410411,46,11345,56,42.30,0,2.70
1778410412,33,11345,56,41.82,0,2.70
1778410414,33,11345,56,42.54,0,2.65
1778410415,44,11345,56,42.44,0,2.65
1778410417,46,11345,56,42.50,0,2.65
1778410418,34,11345,56,41.67,0,2.59
1778410419,44,11345,56,42.32,0,2.59
1778410421,33,11345,56,42.08,0,2.59
1778410422,36,11345,56,42.40,0,2.59
1778410424,44,11345,56,42.61,0,2.47
1778410425,43,11345,56,42.70,0,2.47
1778410427,38,11345,56,42.58,0,2.47
1778410428,40,11345,57,42.60,0,2.35
1778410430,33,11345,57,42.39,0,2.35
1778410431,40,11345,56,42.98,0,2.35
1778410433,45,11345,56,42.78,0,3.12
1778410434,7,11345,55,35.05,0,3.12
